ID,Description,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Defecate,Urinate,Energy,Exhausted,Sleepy,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,FollowerActivity,FollowMovement,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
P21,Mengikuti agen lain untuk belanja,5,0,1,0,1;0,-2.3;1717.1,0.25;9,1;2,1.3098;50.296,15;220,-2.3;1766.16,1;2,1;3,0.25;-0.25;0.667,0:03,10:00,3,6.5,10,10,0.8,10,10,30|-2,-,agen02,P19,0,S29-C,A04,-,RGS01|NONE,R1|-,-|-,5|-,-|-,-|-,R2|-,-|-,-,6,-,Room:0:0.1|-
A04,Belanja,5,0,1,0,1;0,-2.3;1717.1,0.25;9,1;2,1.3098;50.296,15;220,-2.3;1766.16,1;2,1;3,0.25;-0.25;0.667,3:00,10:00,3,6.5,10,10,0.8,10,10,30|-2,P21,agen02,A04,0,S29-M,-,-,RGS01|NONE,R1|-,-|-,5|-,-|-,-|-,R2|-,-|-,-,6,-,Room:0:0.1|-
P29,Wudhu 2,5,0,0,0,0;1,-1;735.9,0.25;9,1;9,1.3098;50.296,30;247.5,-1;1766.16,1.25;3,1;7,0.5;-0.25;0.334,0:05,12:00,0,2,10,10,1,10,10,1|1,-,-,-,0,S12-C,A105,-,RDP01|NONE,-|-,50;L1|-,-|-,-|-,Faucet|-,L2;D2|-,Water:0|-,-,0,0,Room:0:0.1;Water:11:-0.089;Water:11:-0.086|-
A105,Ibadah 2,5,0,0,0,0;1,-1;735.9,0.25;9,1;9,1.3098;50.296,30;247.5,-1;1766.16,1.25;3,1;7,0.5;-0.25;0.334,0:15,12:05,0,2,10,10,1,10,10,1|1,P29,-,-,0,S12-M,-,-,RTU01|NONE,R1|-,50;L1|-,0.17|-,-|-,-|-,L2|-,-|-,-,0,0,Room:0:0.1|-
A124,Makan bersama keluarga siang,5,0,0,0,0;1,-1.5;735.9,0.25;9,1;9,1.3098;50.296,30;247.5,-1.5;1766.16,1;3,1;7,0.25;-0.25;0.334,0:30,12:00,0,3,10,10,1,10,10,1|1,-,agen02;agen03;agen04;agen06,-,0,-,-,A48,RMK01|NONE,-|-,50;L1|-,-|-,-|-,Chair|-,L2;D2|-,Food:10|-,Hunger;7,3,Hunger;1.2,Room:0:0.1;Water:11:-0.083;Water:0:-2;Food:0:-2;DirtyUtensil:0:1|-
P49,Mencari agen lain untuk jalan di akhir pekan,1,0,1,0,1;0,-2.3;1717.1,1;5,1;5,1.3098;31.435,15;137.5,-2.3;1766.16,1.75;3,1;6,0.25;-0.25;0.667,0:03,13:00,3,5,10,8,0.8,10,7.5,7|6;7,-,agen02;agen03;agen04;agen06,-,0,S20-C,P12,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,6,-,Room:0:0.1|-
P12,Membawa lain untuk jalan akhir pekan,1,0,1,0,1;0,-2.3;1717.1,1;5,1;5,1.3098;31.435,15;137.5,-2.3;1766.16,1.75;3,1;6,0.25;-0.25;0.667,0:03,13:00,3,5,10,8,0.8,10,7.5,7|6;7,P49,agen02;agen03;agen04;agen06,P47,1,S20-M,A36,-,RGS01|NONE,R1|-,-|-,-|-,-|-,-|-,-|-,-|-,-,6,-,Room:0:0.1|-
A36,Pergi jalan ke luar rumah di akhir pekan,1,0,1,0,1;0,-2.3;1717.1,1;5,1;5,1.3098;31.435,15;137.5,-2.3;1766.16,1.75;3,1;6,0.25;-0.25;0.667,2:00,13:00,3,5,10,8,0.8,10,7.5,7|6;7,P12,agen02;agen03;agen04;agen06,P36,1,S20-M,-,-,RGS01|NONE,R1|-,-|-,-|-,-|-,-|-,-|-,-|-,-,6,-,Room:0:0.1|-
A48,Pergi makan siang di luar rumah,1,0,1,0,1;0,-2;735.9,1;9,1;9,1.3098;50.296,22.5;247.5,-2;883.08,1;3,1;7,0.25;-0.25;0.667,2:00,13:00,3,5,10,8,0.8,10,7.5,7|6;7,-,-,-,0,-,-,A124,RGS01|NONE,R1|-,-|-,-|-,-|-,-|-,-|-,-|-,-,1,Hunger,Room:0:0.1|-
P36,Wudhu 4,5,0,0,0,0;1,-1;735.9,0.25;9,1;9,1.3098;50.296,30;247.5,-1;1766.16,1.25;3,1;7,0.5;-0.25;0.334,0:05,17:00,0,2,10,10,1,10,10,1|1,-,-,-,0,S17-C,A169,-,RDP01|NONE,-|-,50;L1|-,-|-,-|-,Faucet|-,L2;D2|-,Water:0|-,-,0,0,Room:0:0.1;Water:11:-0.089;Water:11:-0.086|-
A169,Ibadah 4,5,0,0,0,0;1,-1;735.9,0.25;9,1;9,1.3098;50.296,30;247.5,-1;1766.16,1.25;3,1;7,0.5;-0.25;0.334,0:15,17:05,0,2,5,8,1,10,10,1|1,P36,-,-,0,S17-M,-,-,RTU01|NONE,R1|-,50;L1|-,0.17|-,-|-,-|-,L2|-,-|-,-,0,0,Room:0:0.1|-
A165,Bersantai sore,1,0,0,0,0;1,-1;1962.4,0.25;9,1;2,1.3098;50.296,30;165,-1;883.08,-1.5;1,1;3,0.25;-0.25;0.667,1:00,17:00,0,2,10,8,1,10,7.5,1|1,-,-,-,0,-,-,-,RTU01|RTM02,R1|-,50;L1|50;L1,1.67|1.67,19|-,Sofa|Sofa,-|-,-|-,-,1,Exhausted,Room:0:0.1|Room:0:0.1
A76,Membaca sore,1,0,0,0,1;0,-1.4;1962.4,0.25;9,1;2,1.3098;50.296,30;165,-1.3;883.08,1;1,1;3,0.25;-0.25;0.667,0:40,17:00,0,4,8,8,1,10,7.5,1|1,-,-,-,0,-,-,-,RKG01|NONE,-|-,50;L1|-,-|-,-|-,Sofa|-,-|-,-|-,-,0,0,Room:0:0.1|-
A166,Pergi makan malam di luar rumah,1,0,1,0,1;0,-2.3;735.9,1;9,1;9,1.3098;50.296,15;247.5,-2.3;883.08,1;3,1;7,0.25;-0.25;0.667,2:00,18:00,3,5,10,8,0.8,10,7.5,7|6;7,-,-,-,0,-,-,A125,RGS01|NONE,R1|-,-|-,-|-,-|-,-|-,-|-,-|-,-,1,Hunger,Room:0:0.1|-
P31,Wudhu 5,5,0,0,0,0;1,-1;735.9,0.25;9,1;9,1.3098;50.296,30;247.5,-1;1766.16,1.25;3,1;7,0.5;-0.25;0.334,0:05,19:00,0,2,10,10,1,10,10,1|1,-,-,-,0,S16-C,A109,-,RDP01|NONE,-|-,50;L1|-,-|-,-|-,Faucet|-,L2;D2|-,Water:0|-,-,0,0,Room:0:0.1;Water:11:-0.089;Water:11:-0.086|-
A109,Ibadah 5,5,0,0,0,0;1,-1;735.9,0.25;9,1;9,1.3098;50.296,30;247.5,-1;1766.16,1.25;3,1;7,0.5;-0.25;0.334,0:15,19:05,0,2,10,8,1,10,10,1|1,P31,-,-,0,S16-M,-,-,RTU01|NONE,R1|-,50;L1|-,0.17|-,-|-,-|-,L2|-,-|-,-,0,0,Room:0:0.1|-
A125,Makan bersama keluarga malam,5,0,0,0,0;1,-1.5;735.9,0.25;9,1;9,1.3098;50.296,30;247.5,-1.5;1766.16,1;3,1;7,0.25;-0.25;0.334,0:30,19:00,0,3,10,10,1,10,10,1|1,-,agen02;agen03;agen04;agen06,-,0,-,-,A166,RMK01|NONE,-|-,50;L1|-,-|-,-|-,Chair|-,L2;D2|-,Food:10|-,Hunger;7,3,Hunger;1.2,Room:0:0.1;Water:11:-0.083;Water:0:-2;Food:0:-2;DirtyUtensil:0:1|-
A110,Menonton bersama keluarga (menggunakan home theater),5,0,0,0,0;1,-1;1962.4,0.25;9,1;2,1.3098;50.296,30;165,-1;1766.16,1.25;1,1.25;3,0.25;0;0.667,3:00,19:00,0,3,10,10,1,10,10,1|1,-,agen04,-,0,-,-,-,RKG01|NONE,-|-,50;L1|-,-|-,-|-,Sofa|-,L2;E2|-,-|-,-,6,-,Room:0:0.1;TV01:1:0.509;HT01:1:1|-
A170,Mengisi ulang daya gadget malam,1,1,0,0,1;0,-1;735.9,0.25;9,1;9,1.3098;50.296,30;247.5,-1;2649.24,1;5,1;5,0;0;0.667,2:00,21:00,0,2,8,8,1,7.5,7.5,1|1,-,-,-,0,-,-,-,RTU01|NONE,R1|-,50;L1|-,-|-,-|-,Bed|-,-|-,-|-,-,0,0,Room:0:0.1;CH01:1:0.01|-
A75,Berdandan setelah mandi,-1,0,0,0,0;1,-1;981.2,0.25;2,1;2,1.3098;50.296,30;137.5,-1;1766.16,1;6,1;8,0;0;0.334,0:10,-,0,3,10,8,1,10,5,1|1,-,-,-,0,S09-C,-,-,RTU01|NONE,R1|-,50;L1|-,-|-,-|-,-|-,L2;R2|-,-|-,-,1,Dirty,Room:0:0.1;ReadyUseCloth:0:-1|-
A78,Mengoperasikan gadget,1,0,0,0,1;0,-1.3;735.9,0.25;9,1;9,1.3098;50.296,22.5;247.5,-1.3;2060.52,1.25;5,1.25;5,0;0;0.667,0:20,-,0,3.5,8,6,1,7.5,7.5,1|1,-,-,-,0,-,-,-,RKG01|RTU01,-|R1,50;L1|50;L1,-|-,-|19,Sofa|Sofa,-|-,-|-,-,0,0,Room:0:0.1|-
A167,Memberi makan ikan,5,0,0,0,1;0,-1;981.2,0.25;9,1;8,1.3098;50.296,30;220,-1;883.08,1;6,1;8,0;-0.25;0.334,0:20,8:00,0,2,8,8,1,10,7.5,1|1,-,-,-,0,-,-,-,RAK01|NONE,-|-,50;L1|-,-|-,-|-,Aquarium|-,L2|-,RawFood:2|-,-,8,-,Room:0:0.1;RawFood:0:-2|-
A119,Mengambil Makan,3,0,0,0,0;1,-2;735.9,0.25;9,1;9,1.3098;50.296,30;247.5,-2;2060.52,1;5,1;5,0;0;0.334,0:05,-,0,3,5,8,0,0,5,1|1,-,-,-,0,-,B02,-,RMK01|NONE,-|-,50;L1|-,-|-,-|-,RCooker|-,-|-,Food:2|-,-,1,Hunger,Room:0:0.1;Food:0:-2|-
B01,Bangun tidur,0,0,0,1,0;1,-0.9;735.9,0.25;9,1;9,1.3098;50.296,30;275,-0.9;294.36,1;8,1;8,0;-0.5;0.167,0:05,-,0,-,-,-,-,-,-,1|1,-,-,-,0,-,-,-,RTU01|NONE,R1|-,-|-,-|-,-|-,Bed|-,-|-,-|-,-,1,Sleepy,Room:0:0.1|-
B02,Makan,0,0,0,1,0;1,-1.5;735.9,0.25;9,1;9,1.3098;50.296,22.5;275,-1.5;294.36,1;8,1;8,0;-0.5;0.167,0:15,-,0,-,-,-,-,-,-,1|1,-,-,-,0,-,-,-,RMK01|RKG01,-|-,50;L1|50;L1,-|-,-|-,Chair|-,-|-,-|-,-,1,Hunger,Room:0:0.1;DirtyUtensil:0:1|-
B03,Minum,0,0,0,1,0;1,-1;735.9,0.25;9,1;9,1.3098;50.296,30;275,-1;294.36,1;8,1;8,0;-0.5;0.167,0:05,-,0,-,-,-,-,-,-,1|1,-,-,-,0,-,-,-,RDP02|RST01,-|-,50;L1|-,-|-,-|-,Chair|Chair,-|-,DrinkWater:0|-,-,1,Thirsty,Room:0:0.1;DrinkWater:10:0;DirtyUtensil:0:1|-
B04,Tidur,0,0,0,1,0;1,-0.9;735.9,0.25;9,1;9,1.3098;50.296,30;275,-0.9;294.36,-1.75;8,1;8,0;-0.5;0.167,-,-,0,-,-,-,-,-,-,1|1,-,-,-,0,-,-,-,RTU01|NONE,R1|-,20;L1|-,-|-,28|-,Bed|-,R2|-,-|-,-,1,Sleepy,Room:0:0.1;TV01:0:0.19|-
B05,BAK,0,0,0,1,0;1,-1;735.9,0.25;9,1;9,1.3098;50.296,30;275,-1;294.36,1;8,1;8,0;-0.5;0.167,0:05,-,0,-,-,-,-,-,-,1|1,-,-,-,0,-,-,-,RKM01|RKM02,CC|CC,50;L1|50;L1,-|-,-|-,Closet|Closet,L2;D2|L2;D2,Water:3|Water:3,-,1,Urinate,Room:0:0.1;Water:0:-3;Water:1:-0.066|Room:0:0.1;Water:0:-3;Water:1:-0.066
B06,BAB,0,0,0,1,0;1,-1;735.9,0.25;9,1;9,1.3098;50.296,30;275,-1;294.36,1;8,1;8,0;-0.5;0.167,0:10,-,0,-,-,-,-,-,-,1|1,-,-,-,0,-,-,-,RKM01|RKM02,CC|CC,50;L1|50;L1,-|-,-|-,Closet|Closet,L2;D2|L2;D2,Water:4.5|Water:4.5,-,1,Defecate,Room:0:0.1;Water:0:-4.5;Water:1:-0.066|Room:0:0.1;Water:0:-4.5;Water:1:-0.066
B07,Mandi,0,0,0,1,0;1,-1.5;735.9,0.25;9,1;9,1.3098;50.296,22.5;275,-1.5;294.36,1;8,1;8,0;-0.5;0.167,0:15,-,0,-,-,-,-,-,-,1|1,-,-,-,0,S09-M,A75,-,RKM01|RKM02,CC|CC,50;L1|50;L1,-|-,-|-,-|-,L2;D2|L2;D2,Water:0|Water:0,-,1,Dirty,Room:0:0.1;Water:1:-0.017|Room:0:0.1;Water:1:-0.018
