ID,Description,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Energy,Exhausted,Sleepy,Defecate,Urinate,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,FollowerActivity,FollowerMovement,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
A92,Menyapu Ruang Tamu 2 pagi,3,0,0,0,1;0,-3.3;539.351,0.25;8,1.5;9,-3.3;1294.428,1.25;3,1;7,1.3098;50.296,3.75;303.75,0.5;0;-0.104,0:02,08:10|05:10|11:10,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,-,0,S01-M,A13,-,RTM02|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,-|-,-,8,-,Room:0:-1|-
A13,Menyapu Teras 1 dan 2 pagi,3,0,0,0,1;0,-3.3;539.351,0.25;8,1.5;9,-3.3;1294.428,1.25;3,1;7,1.3098;50.296,3.75;303.75,0.5;0;-0.104,0:02,08:12|05:12|11:12,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,-,0,S01-M,A14,-,RTS01|RTS02,R1|R1,15;L1|15;L1,-|-,-|-,-|-,L2|L2,-|-,-,8,-,Room:0:-1|Room:0:-1
A14,Mengepel Ruang Tidur Utama 1 pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,-3.5;1294.428,1.25;3,1;7,1.3098;50.296,3.75;303.75,0.5;0;-0.104,0:04,08:18|05:18|11:18,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A05,-,-,0,S01-M,A93,-,RTU01|NONE,R1|-,15;L1|-,-|-,-|-,-|-,L2;R2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A93,Mengepel Ruang Tidur Anak 1 pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,-3.5;1294.428,1.25;3,1;7,1.3098;50.296,3.75;303.75,0.5;0;-0.104,0:04,08:22|05:22|11:22,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A83,-,-,0,S01-M,A94,-,RTA01|NONE,R1|-,15;L1|-,-|-,-|-,-|-,L2;R2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A94,Mengepel Ruang Tidur Anak 2 pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,-3.5;1294.428,1.25;3,1;7,1.3098;50.296,3.75;303.75,0.5;0;-0.104,0:02,08:26|05:26|11:26,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A84,-,-,0,S01-M,A95,-,RTA02|NONE,R1|-,15;L1|-,-|-,-|-,-|-,L2;R2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A95,Mengepel Ruang Tidur Anak 3 pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,-3.5;1294.428,1.25;3,1;7,1.3098;50.296,3.75;303.75,0.5;0;-0.104,0:02,08:28|05:28|11:28,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A85,-,-,0,S01-M,A96,-,RTA03|NONE,R1|-,15;L1|-,-|-,-|-,-|-,L2;R2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A96,Mengepel Ruang Tidur Tamu pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,-3.5;1294.428,1.25;3,1;7,1.3098;50.296,3.75;303.75,0.5;0;-0.104,0:04,08:30|05:30|11:30,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A86,-,-,0,S01-M,A97,-,RTD01|NONE,R1|-,15;L1|-,-|-,-|-,-|-,L2;R2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A97,Mengepel Selasar Lt. 2 pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,-3.5;1294.428,1.25;3,1;7,1.3098;50.296,3.75;303.75,0.5;0;-0.104,0:03,08:34|05:34|11:34,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A87,-,-,0,S01-M,A20,-,RSL02|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A20,Mengepel Ruang Tamu 1 pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,-3.5;1294.428,1.25;3,1;7,1.3098;50.296,3.75;303.75,0.5;0;-0.104,0:03,08:37|05:37|11:37,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A12,-,-,0,S01-M,A98,-,RTM01|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A98,Mengepel Ruang Tamu 2 pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,-3.5;1294.428,1.25;3,1;7,1.3098;50.296,3.75;303.75,0.5;0;-0.104,0:05,08:40|05:40|11:40,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A92,-,-,0,S01-M,A19,-,RTM02|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A19,Mengepel Ruang Keluarga 1 pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,-3.5;1294.428,1.25;3,1;7,1.3098;50.296,3.75;303.75,0.5;0;-0.104,0:05,08:45|05:45|11:45,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A11,-,-,0,S01-M,A77,-,RKG01|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A77,Mengepel Ruang Akuarium 1 pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,-3.5;1294.428,1.25;3,1;7,1.3098;50.296,3.75;303.75,0.5;0;-0.104,0:04,08:50|05:50|11:50,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A121,-,-,0,S01-M,A99,-,RAK01|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A99,Mengepel Ruang Keluarga 2 pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,-3.5;1294.428,1.25;3,1;7,1.3098;50.296,3.75;303.75,0.5;0;-0.104,0:01,08:54|05:54|11:54,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A90,-,-,0,S01-M,A100,-,RKG02|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A100,Mengepel Ruang Santai pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,-3.5;1294.428,1.25;3,1;7,1.3098;50.296,3.75;303.75,0.5;0;-0.104,0:01,08:55|05:55|11:55,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A91,-,-,0,S01-M,A101,-,RST01|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A101,Mengepel Ruang Makan pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,-3.5;1294.428,1.25;3,1;7,1.3098;50.296,3.75;303.75,0.5;0;-0.104,0:02,08:57|05:57|11:57,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A89,-,-,0,S01-M,A18,-,RMK01|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A18,Mengepel Dapur Bersih pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,-3.5;1294.428,1.25;3,1;7,1.3098;50.296,3.75;303.75,0.5;0;-0.104,0:01,08:59|05:59|11:59,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A10,-,-,0,S01-M,A102,-,RDP02|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A102,Mengepel Selasar Lt. 1 pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,-3.5;1294.428,1.25;3,1;7,1.3098;50.296,3.75;303.75,0.5;0;-0.104,0:03,09:00|06:00|12:00,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A88,-,-,0,S01-M,A17,-,RSL01|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A17,Mengepel Dapur Kotor pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,-3.5;1294.428,1.25;3,1;7,1.3098;50.296,3.75;303.75,0.5;0;-0.104,0:01,09:03|06:03|12:03,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A09,-,-,0,S01-M,A21,-,RDP01|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A21,Mengepel Teras pagi,5,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,-3.5;1294.428,1.25;3,1;7,1.3098;50.296,3.75;303.75,0.5;0;-0.104,0:45,08:00|05:00|11:00,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A13,-,-,0,S01-M,-,-,RTS01|RTS02,R1|R1,15;L1|15;L1,-|-,-|-,-|-,L2|L2,Water:1|-,-,8,-,Room:5:0;Water:0:-5|Room:5:0;Water:0:-5
A42,Mencuci dengan mesin cuci,5,0,0,0,1;0,-2;539.351,0.25;8,1;9,-2;1078.69,1;3,1;7,1.3098;50.296,7.5;303.75,0.5;0;-0.104,0:55,08:00|05:00|11:00,0,6.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,-,0,-,A43,-,RDP01|NONE,-|-,15;L1|-,-|-,-|-,WMachine|-,-|-,Water:150;DirtyCloth:0|-,-,5,DirtyCloth,Room:0:0.1;Water:0:-150;DirtyCloth:5:0;CleanWetCloth:7:0.91|-
A106,Membersihkan akuarium,1,0,0,0,1;0,-3.8;539.351,0.25;8,1;9,-3.8;1510.166,1.25;3,1;7,1.3098;50.296,3.75;303.75,0.5;-0.25;-0.104,0:15,09:00|06:00|12:00,0,6.5,10,10,1.5,10,10,30|-4,-,-,-,0,S25-C,A178,-,RDP01|NONE,-|-,15;L1|-,-|-,-|-,Faucet|-,D2|-,DirtyWater:84;Water:84|-,-,5,DirtyWater,Room:0:0.1;DirtyWater:5:0;Water:0:-84;Water:6:-0.086|-
A178,Menghidupkan Water Filter Akuarium,1,1,0,0,1;0,-3.8;539.351,0.25;8,1;9,-3.8;1510.166,1.25;3,1;7,1.3098;50.296,3.75;303.75,0.5;-0.25;-0.104,0:01,09:00|06:00|12:00,0,6.5,10,10,1.5,10,10,30|-4,A106,-,-,0,S25-M,-,-,RAK01|NONE,-|-,15;L1|-,-|-,-|-,Aquarium|-,L1;E1|-,DirtyWater:0|-,-,5,DirtyWater,Room:0:0.1;DirtyWater:5:0;DirtyWater:7:8640;FA01:1:0.015|-
A43,Menjemur pakaian,5,0,0,0,0;1,-2.3;539.351,0.25;8,1.75;9,-2.3;1294.428,1;3,1;7,1.3098;50.296,7.5;303.75,0.5;-0.25;-0.104,0:20,09:00|06:00|12:00,0,4,10,10,1.5,10,10,7|1;2;3;4;5,A42,-,-,0,-,-,-,RGS01|NONE,R1|-,15;L1|-,1.67|-,-|-,-|-,-|-,CleanWetCloth:0|-,-,5,CleanWetCloth,Room:0:1;CleanWetCloth:5:0;CleanDryCloth:7:360|-
A04,Belanja,1,0,1,0,0;1,-2.3;1258.475,0.25;8,1;2,-2.3;862.952,1;2,1;3,1.3098;50.296,7.5;270,0.5;-0.25;-0.104,0:15,10:00|07:00|13:00,0,6.5,10,8,1.5,10,10,7|1;2;3;4;5,-,-,-,0,-,-,-,RGS01|NONE,R1|-,15;L1|-,-|-,-|-,-|-,-|-,RawFood:0|-,-,2,RawFood,Room:0:0.1;RawFood:0:50;Trash:0:1|-
P29,Wudhu 2,5,0,0,0,0;1,-1;539.351,0.25;8,1;9,-1;1294.428,1;3,1;7,1.3098;50.296,15;303.75,0.5;-0.25;-0.104,0:05,12:00|09:00|15:00,0,2,8,10,1,10,10,7|1;2;3;4;5,-,-,-,0,S12-C,A105,-,RDP01|NONE,-|-,15;L1|-,-|-,-|-,Faucet|-,D2|-,Water:0|-,-,0,0,Room:0:0.1;Water:11:-0.089;Water:11:-0.086|-
A105,Ibadah 2,5,0,0,0,0;1,-1;539.351,0.25;8,1;9,-1;1294.428,1;3,1;7,1.3098;50.296,15;303.75,0.5;-0.25;-0.104,0:15,12:05|09:05|15:05,0,2,10,10,1,10,10,7|1;2;3;4;5,P29,-,-,0,S12-M,-,-,RKG02|NONE,R1|-,15;L1|-,0.17|-,-|-,-|-,L2|-,-|-,-,0,0,Room:0:0.1|-
A47,Memasak makan siang dengan rice cooker,5,1,0,0,0;1,-2;1258.475,0.25;8,1;4,-2;1294.428,1;2,1;2,1.3098;50.296,11.25;270,0.5;0;-0.104,6:00,12:00|09:00|15:00,0,6.5,10,10,1,8,10,1|1,-,agen02,-,0,-,-,-,RSL01|NONE,-|-,15;L1|-,1.67|-,-|-,RCooker|-,L2|-,Water:12;RawFood:4|-,Hunger;6,3,Hunger;1.2,Room:0:0.1;Water:0:-12;RC02:1:0.4;RawFood:0:-3;Food:4:6|-
A171,Mencuci piring dan alat masak siang,5,0,0,0,1;0,-2.3;1438.256,0.25;8,1.5;2,-2.3;862.952,1;1,1;3,1.3098;50.296,7.5;202.5,0.5;0;-0.104,0:20,12:00|09:00|15:00,0,4.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,-,0,-,-,-,RDP02|NONE,-|-,15;L1|-,-|-,-|-,Sink|-,L2;D2|-,Water:0;DirtyUtensil:0|-,-,5,DirtyUtensil,Room:0:0.1;DirtyUtensil:5:0;Water:11:-0.055|-
A56,Mengangkat jemuran,5,0,0,0,0;1,-2.3;1438.256,0.25;8,1.75;2,-2.3;862.952,1.25;1,1;3,1.3098;50.296,7.5;202.5,0.5;-0.25;-0.104,0:15,12:00|09:00|15:00,0,4.5,10,10,1.5,10,10,7|1;2;3;4;5,A43,-,-,0,-,-,-,RGS01|NONE,R1|-,15;L1|-,1.67|-,-|-,-|-,-|-,CleanDryCloth:0|-,-,9,CleanDryCloth,Room:0:1;CleanDryCloth:8:0|-
A168,Mengganti galon air RO,5,0,0,0,0;1,-2.3;1078.694,0.25;8,1;8,-2.3;1725.904,1.25;5,1;5,1.3098;50.296,15;270,0.5;-0.25;-0.104,0:15,12:00|09:00|15:00,0,6.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,-,0,-,-,-,RDP02|RST01,-|-,15;L1|15;L1,-|-,-|-,WFilter|Dispenser,L2|L2;E1,DrinkWater:19|-,-,9,DrinkWater,Room:0:0.1;DrinkWater:0:-19|Room:0:0.1;DrinkWater:0:19
A183,Mengganti gas untuk masak,5,0,0,0,0;1,-2.3;1078.694,0.25;8,1;8,-2.3;1725.904,1.25;5,1;5,1.3098;50.296,15;270,0.5;-0.25;-0.104,0:15,12:30|09:30|15:30,0,6.5,10,10,1.5,10,10,30|-1,-,-,-,0,-,-,-,RDP01|NONE,-|-,15;L1|-,-|-,-|-,-|-,-|-,Gas:0|-,-,5,Gas,Room:0:0.1;Gas:5:12|-
A78,Mengoperasikan gadget,1,0,0,0,1;0,-1.3;539.351,0.25;8,1;9,-1.3;1510.166,1;5,1;5,1.3098;50.296,11.25;303.75,0.5;-0.25;-0.104,0:15,12:00|09:00|15:00,0,3.5,8,8,1,10,5,1|1,-,-,-,0,-,-,-,RKG01|RKG02,-|-,15;L1|15;L1,1.67|1.67,-|-,Sofa|-,-|-,-|-,-,0,0,Room:0:0.1|Room:0:0.1
A65,Menyetrika pakaian,5,0,0,0,1;0,-2.3;539.351,0.25;8,1.75;9,-2.3;1725.904,1.25;6,1.25;6,1.3098;50.296,3.75;303.75,0.5;-0.25;-0.104,3:00,13:00|10:00|16:00,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,A56,-,-,0,-,-,-,RKG02|NONE,-|-,15;L1|-,1.67|-,-|-,Iron|-,L2;E2|-,CleanDryCloth:0|-,-,5,CleanDryCloth2,Room:0:0.1;CleanDryCloth2:5:0;ReadyUseCloth:7:3|-
P30,Wudhu 3,5,0,0,0,0;1,-1;539.351,0.25;8,1;9,-1;1294.428,1;3,1;7,1.3098;50.296,15;303.75,0.5;-0.25;-0.104,0:05,15:00|12:00|18:00,0,2,10,10,1,10,10,7|1;2;3;4;5,-,-,-,0,S14-C,A107,-,RDP01|NONE,-|-,15;L1|-,-|-,-|-,Faucet|-,D2|-,Water:0|-,-,0,0,Room:0:0.1;Water:11:-0.089;Water:11:-0.086|-
A107,Ibadah 3,5,0,0,0,0;1,-2;539.351,0.25;8,1;9,-2;1294.428,1;3,1;7,1.3098;50.296,15;303.75,0.5;-0.25;-0.104,0:15,15:05|12:05|18:05,0,3,10,10,1,10,10,7|1;2;3;4;5,P30,-,-,0,S14-M,-,-,RKG02|NONE,R1|-,15;L1|-,0.17|-,-|-,-|-,L2|-,-|-,-,0,0,Room:0:0.1|-
A172,Mencuci piring dan alat masak sore,5,0,0,0,1;0,-2.3;1438.256,0.25;8,1.5;2,-2.3;862.952,1;1,1;3,1.3098;50.296,7.5;202.5,0.5;0;-0.104,0:20,15:00|12:00|18:00,0,4.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,-,0,-,-,-,RDP02|NONE,-|-,15;L1|-,-|-,-|-,Sink|-,L2;D2|-,Water:0;DirtyUtensil:0|-,-,5,DirtyUtensil,Room:0:0.1;DirtyUtensil:5:0;Water:11:-0.129|-
P06,Mengambil sampah,5,0,0,0,1;0,-2;539.351,0.25;8,1.25;9,-2;1510.166,1;5,1;5,1.3098;50.296,7.5;303.75,0.5;0;-0.104,0:02,15:00|12:00|18:00,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,-,0,S04-C,P36,-,RKG01|NONE,-|-,15;L1|-,-|-,-|-,TrashCan|-,L2|-,Trash:0|-,-,8,-,Room:0:0.1;Trash:8:0|-
