ID,Description,Repeat,Auto,Outdoor,BioActivity,Hunger,Dirty,Thirst,Defecate,Urinate,Energy,Exhausted,Sleepy,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prequisite,Rooms,Room2,LightThreshold,Status,Temperature,Device
A14,Menyapu Ruang Tidur Utama 1,2,0,0,0,-3.3;-3.3;9,0.4;0.4;9,1.3;1.3;9,1.25;1.25;8,7.5;7.5;9,-3.3;-3.3;6,1.15;1.15;3,0.15;0.15;7,0.005;-0.1;0.9,00:06,07:06,0,5.5,2,6,1,6,3,1|1,-,RTU01,-,150,1,-1,-
A15,Menyapu Ruang Tidur Utama 2,2,0,0,0,-3.3;-3.3;9,0.4;0.4;9,1.3;1.3;9,1.25;1.25;8,7.5;7.5;9,-3.3;-3.3;6,1.15;1.15;3,0.15;0.15;7,0.005;-0.1;0.9,00:04,07:12,0,5.5,2,7,1,6,3,1|1,-,RTU02,-,150,1,-1,-
A16,"Menyapu Ruang Tidur Anak 1,2",2,0,0,0,-3.3;-3.3;9,0.4;0.4;9,1.3;1.3;9,1.25;1.25;8,7.5;7.5;9,-3.3;-3.3;6,1.15;1.15;3,0.15;0.15;7,0.005;-0.1;0.9,00:06,07:17,0,5.5,2,8,1,6,3,1|1,-,RTA01,-,150,1,-1,-
A17,Menyapu Ruang Keluarga,2,0,0,0,-3;-3;9,0.3;0.3;9,1.3;1.3;9,1.5;1.5;8,15;15;9,-3;-3;6,0;0;3,0;0;7,0.01;-0.1;0.9,00:06,07:23,0,5.5,2,7,1,4,3,1|1,-,RKG01,-,150,1,-1,-
A18,Menyapu Ruang Tamu,2,0,0,0,-1.2;-1.2;9,0.1;0.1;9,0;0;9,1.75;1.75;8,22.5;22.5;9,-1.2;-1.2;6,0;0;3,0;0;7,0.003;-0.6;0.9,00:06,07:29,0,3,2,6,1,4,3,1|1,-,RTM01,-,150,1,-1,-
A19,Menyapu Teras,2,0,0,0,-3.3;-3.3;9,0.4;0.4;9,1.3;1.3;9,1.25;1.25;8,7.5;7.5;9,-3.3;-3.3;6,1.15;1.15;3,0.15;0.15;7,0.003;-0.6;0.9,00:02,07:36,0,5.5,2,6,1,4,3,1|1,-,RTS01,-,150,1,-1,-
A20,Membuang Sampah Dapur,3,0,0,0,-3.3;-3.3;9,0.4;0.4;9,1.3;1.3;9,1.25;1.25;8,7.5;7.5;9,-3.3;-3.3;6,1.15;1.15;3,0.15;0.15;7,0.003;-0.6;0.8,00:05,07:38,0,5.5,5,8,1,7,2,1|1,-,RDP01,-,150,1,-1,-
A21,Mengepel Ruang Tidur Utama 1,2,0,0,0,-3.3;-3.3;9,0.4;0.4;9,1.3;1.3;9,1.25;1.25;8,7.5;7.5;9,-3.3;-3.3;6,1.15;1.15;3,0.15;0.15;7,0.003;-0.6;0.9,00:04,07:43,0,5.5,4,6,1,7,3,1|1,A14,RTU01,-,150,1,-1,-
A22,Mengepel Ruang Tidur Utama 2,2,0,0,0,-3.5;-3.5;9,0.35;0.35;9,1.3;1.3;9,1.25;1.25;8,7.5;7.5;9,-3.5;-3.5;6,1.03;1.03;3,-0.3;-0.3;7,0.007;-0.2;0.9,00:03,07:47,0,5,4,7,1,7,3,1|1,A15,RTU02,-,150,1,-1,-
A23,"Mengepel Ruang Tidur Anak 1,2",2,0,0,0,-3.5;-3.5;9,0.35;0.35;9,1.3;1.3;9,1.25;1.25;8,7.5;7.5;9,-3.5;-3.5;6,1.03;1.03;3,-0.3;-0.3;7,0.007;-0.2;0.9,00:04,07:50,0,5,4,8,1,7,3,1|1,A16,RTA01,-,150,1,-1,-
A24,Mengepel Ruang Tamu,2,0,0,0,-3.5;-3.5;9,0.35;0.35;9,1.3;1.3;9,1.25;1.25;8,7.5;7.5;9,-3.5;-3.5;6,1.03;1.03;3,-0.3;-0.3;7,0.007;-0.2;0.9,00:04,07:54,0,5,4,8,1,6,3,1|1,A18,RTM01,-,150,1,-1,-
A25,Mengepel Ruang Keluarga,2,0,0,0,-3.5;-3.5;9,0.35;0.35;9,1.3;1.3;9,1.25;1.25;8,7.5;7.5;9,-3.5;-3.5;6,1.03;1.03;3,-0.3;-0.3;7,0.007;-0.2;0.9,00:04,07:59,0,5,4,7,1,6,3,1|1,A17,RKG01,-,150,1,25,-
A26,Mengepel Koridor,2,0,0,0,-3.5;-3.5;9,0.35;0.35;9,1.3;1.3;9,1.25;1.25;8,7.5;7.5;9,-3.5;-3.5;6,1.03;1.03;3,-0.3;-0.3;7,0.007;-0.2;0.9,00:02,08:03,0,5,4,6,1,6,3,1|1,A13,RKD01,-,150,1,-1,-
A27,Mengepel Gudang,2,0,0,0,-3.5;-3.5;9,0.35;0.35;9,1.3;1.3;9,1.25;1.25;8,7.5;7.5;9,-3.5;-3.5;6,1.03;1.03;3,-0.3;-0.3;7,0.007;-0.2;0.9,00:04,08:05,0,5,4,2,1,6,3,1|1,A12,RGD01,-,150,1,-1,-
A28,Mengepel Ruang Makan,2,0,0,0,-3.5;-3.5;9,0.35;0.35;9,1.3;1.3;9,1.25;1.25;8,7.5;7.5;9,-3.5;-3.5;6,1.03;1.03;3,-0.3;-0.3;7,0.007;-0.2;0.9,00:03,08:10,0,5,4,8,1,6,3,1|1,A10,RMK01,-,150,1,-1,-
A29,Mengepel Dapur,2,0,0,0,-3.5;-3.5;9,0.35;0.35;9,1.3;1.3;9,1.25;1.25;8,7.5;7.5;9,-3.5;-3.5;6,1.03;1.03;3,-0.3;-0.3;7,0.007;-0.2;0.9,00:06,08:13,0,5,4,8,1,6,3,1|1,A11,RDP01,-,150,1,-1,-
A30,Mengepel Teras,2,0,0,0,-3.5;-3.5;4,0.35;0.35;8,1.3;1.3;3,1.25;1.25;8,7.5;7.5;7,-3.5;-3.5;6,1.03;1.03;3,-0.3;-0.3;3,0.007;-0.2;0.9,00:05,08:19,0,5,4,5,1,6,3,1|1,A19,RTS01,-,150,1,-1,-
A31,Belanja,-1,0,0,0,-3.5;-3.5;5,0.35;0.35;8,1.3;1.3;2,1.25;1.25;8,7.5;7.5;8,-3.5;-3.5;4,1.03;1.03;2,-0.3;-0.3;3,0.007;-0.2;1,00:15,08:30,3,5,5,8,1,9,5,1|1,-,RHD01,-,-1,1,-1,-
A32,Memasak makan pagi dengan kompor gas,3,0,0,0,-2.3;-2.3;5,0.3;0.3;8,0;0;4,1.5;1.5;8,15;15;8,-2.3;-2.3;6,0;0;2,0;0;2,0.003;-0.6;0.9,00:45,08:30,0,6.5,5,8,1,5,5,1|1,-,RDP01,-,150,1,-1,Kompor
A33,Mencuci piring dan alat masak pagi,3,0,0,0,-2.5;-2.5;9,0.3;0.3;9,1.7;1.7;9,1.5;1.5;8,15;15;9,-2.5;-2.5;7,1.05;1.05;3,0.5;0.5;7,0.003;-0.6;0.8,00:20,09:15,0,6.5,2,8,0,0,3,1|1,A33,RDP01,-,150,1,-1,Wastafel
A34,Memandikan anak 2 pagi hari,2,0,0,0,-2.3;-2.3;9,0.3;0.3;9,0;0;9,1.5;1.5;8,15;15;9,-2.3;-2.3;4,1.2;1.2;3,0.2;0.2;7,0.003;-0.6;0.8,00:20,08:30,0,5,3,7,0,0,3,1|1,-,RKM01,-,150,1,-1,-
A35,Menyuapi anak2 makan pagi,3,0,0,0,-3.5;-3.5;9,0.4;0.4;9,0;0;4,1.25;1.25;8,7.5;7.5;8,-3.5;-3.5;3,1.2;1.2;2,0.2;0.2;2,0.007;-0.2;0.8,00:15,08:30,0,5.5,3,7,0,0,3,1|1,-,RMK01,-,150,1,-1,-
A36,Menyiram tanaman pagi hari,3,0,0,0,-2.3;-2.3;4,0.3;0.3;8,0;0;2,1.5;1.5;8,15;15;6,-2.3;-2.3;4,1;1;1,0.6;0.6;3,0.003;-0.6;0.7,00:20,08:30,0,5,5,5,0,0,3,1|1,-,RHD01,-,-1,1,-1,-
A37,Pergi makan pagi di luar rumah,-1,0,1,0,-2.5;-2.5;9,0.3;0.3;9,1.3;1.3;9,1.5;1.5;8,15;15;9,-2.5;-2.5;3,1.1;1.1;3,-0.1;-0.1;7,0.007;-0.2;1,01:30,08:30,3,6.5,5,8,0,0,5,7|6;7,-,RGS01,-,150,1,-1,-
A38,Pulang makan pagi dari luar rumah,1,0,0,0,-2.5;-2.5;9,0.1;0.1;9,1.3;1.3;9,1.5;1.5;8,15;15;9,-2.5;-2.5;3,1.1;1.1;3,0.1;0.1;7,0.005;-0.1;0.8,00:03,10:00,0,6.5,5,8,0,0,5,7|6;7,A41,RGS01,-,150,1,-1,-
A39,Menggunakan blender,2,0,0,0,-3.8;-3.8;9,0.3;0.3;9,1;1;9,1.25;1.25;8,7.5;7.5;9,-3.8;-3.8;5,1.25;1.25;3,0.25;0.25;7,0.01;-0.1;1,00:15,09:00,0,5.5,5,6,0,0,2,1|1,-,RDP01,-,150,1,-1,Blender
A40,Berangkat kerja,2,0,1,0,-1.5;-1.5;9,1;1;9,1;1;9,1.75;1.75;8,22.5;22.5;9,-1.5;-1.5;3,1.25;1.25;3,-0.75;-0.75;7,0.05;-0.5;0.8,09:00,09:00,0,3.5,5,10,1,8,5,1|1,-,RGS01,-,150,1,-1,-
A41,Pulang kerja,2,0,0,0,-2.3;-2.3;8,0.3;0.3;8,0;0;6,1.5;1.5;9,15;15;8,-2.3;-2.3;8,1;1;7,0.6;0.6;7,0.003;-0.6;0.8,00:45,18:00,0,5,5,10,1,8,5,1|1,A36,RGS01,-,150,1,-1,-
A42,Mencuci baju konvensional,3,0,0,0,-2.3;-2.3;9,0.3;0.3;9,0;0;9,1.5;1.5;8,15;15;9,-2.3;-2.3;7,1.02;1.02;3,0.2;0.2;7,0.003;-0.6;0.9,01:00,09:00,1,3,3,5,1,5,3,1|1,-,RCC01,-,150,1,-1,-
A43,Mencuci dengan mesin cuci,1,1,0,0,-3;-3;9,0.4;0.4;9,1;1;9,1.5;1.5;8,15;15;9,-3;-3;5,1.3;1.3;3,-0.3;-0.3;7,0.003;-0.6;0.8,00:30,09:00,0,5,5,7,1,7,5,1|1,-,RCC01,-,150,1,-1,MCuci
A44,Menjemur pakaian,3,0,0,0,-2;-2;9,0.2;0.2;9,1;1;9,1.5;1.5;8,15;15;9,-2;-2;6,1.05;1.05;3,0.5;0.5;7,0.007;-0.2;0.8,00:30,10:30,0,4.5,5,10,1,9,5,1|1,A43;A44,RCC01,-,150,1,-1,-
A45,Pergi memasukan laundry,-1,0,1,0,-2.3;-2.3;9,0.3;0.3;9,1;1;9,1.5;1.5;8,15;15;9,-2.3;-2.3;3,1.1;1.1;3,0.1;0.1;7,0.003;-0.6;0.8,00:30,09:00,3,4,3,10,0,0,5,7|-2,-,RHD01,-,150,1,-1,-
A46,Membersihkan Kamar Mandi,3,0,0,0,-1;-1;4,0.1;0.1;8,0;0;3,1;1;8,30;30;10,-1;-1;6,0;0;3,0;0;3,0.003;-0.6;0.8,00:30,10:00,0,3,5,10,1,9,5,1|1,-,RKM01,-,150,1,-1,-
A47,Ibadah di rumah,2,0,0,0,-2.3;-2.3;9,0.3;0.3;9,1;1;9,1.5;1.5;8,15;15;9,-2.3;-2.3;3,1.5;1.5;3,0.5;0.5;7,0.003;-0.6;0.7,01:30,10:00,0,6,4,8,1,10,5,7|7,-,RTM01,-,150,1,-1,-
A48,Kegiatan sosial di pagi hari,-1,0,1,0,-2.3;-2.3;4,0.3;0.3;8,0;0;2,1.5;1.5;8,15;15;6,-2.3;-2.3;6,1;1;1,0.6;0.6;3,0.003;-0.6;1,01:30,10:00,4,5,2,4,1,6,2,7|6,-,RTS01,-,150,1,-1,-
A49,Berangkat checkup ke RS,-1,0,1,0,-2.3;-2.3;9,0.3;0.3;9,0;0;9,1.5;1.5;8,15;15;9,-2.3;-2.3;3,1;1;3,0.6;0.6;7,0.003;-0.6;0.8,02:00,11:00,3,5,5,10,1,10,5,30|14,-,RGS01,-,150,1,-1,-
A50,Pulang checkup dari RS,1,0,0,0,-2.3;-2.3;9,0.4;0.4;9,1;1;9,1.5;1.5;8,15;15;9,-2.3;-2.3;3,1.1;1.1;3,0.1;0.1;7,0.001;-0.3;0.8,00:03,13:00,0,4.5,5,10,1,10,5,30|14,A48,RGS01,-,150,1,-1,-
A51,Memasak makan siang dengan kompor gas,3,0,0,0,-2.5;-2.5;5,0.4;0.4;8,1;1;4,1.5;1.5;8,15;15;8,-2.5;-2.5;6,1.3;1.3;2,0.3;0.3;2,0.005;-0.1;0.9,01:00,11:00,0,6.5,4,8,1,6,5,1|1,-,RDP01,-,150,1,-1,Kompor
A52,Mencuci piring dan alat masak siang,3,0,0,0,-2.5;-2.5;9,0.1;0.1;9,1.3;1.3;9,1.5;1.5;8,15;15;9,-2.5;-2.5;7,1.1;1.1;3,0.1;0.1;7,0.005;-0.1;0.8,00:20,12:00,0,6.5,4,7,1,5,3,1|1,A51,RDP01,-,150,1,-1,Wastafel
A53,Menyuapi anak 2 makan siang,3,0,0,0,-2.3;-2.3;9,0.3;0.3;9,0;0;4,1.5;1.5;8,15;15;8,-2.3;-2.3;3,1;1;2,0.6;0.6;2,0.003;-0.6;0.8,00:30,12:00,0,5,5,8,0,0,5,1|1,-,RMK01,-,150,1,-1,-
A54,Pergi makan siang di luar rumah,-1,0,1,0,-2.3;-2.3;9,0.3;0.3;9,0;0;9,1.5;1.5;8,15;15;9,-2.3;-2.3;3,1;1;3,0.6;0.6;7,0.003;-0.6;1,01:30,12:30,4,5,5,8,0,0,5,7|6;7,-,RGS01,-,150,1,-1,-
A55,Pulang makan siang dari luar rumah,1,0,0,0,-2.3;-2.3;5,0.3;0.3;8,1.3;1.3;4,1.5;1.5;8,15;15;8,-2.3;-2.3;6,1;1;2,0.6;0.6;2,0.003;-0.6;0.8,00:03,14:00,0,5,5,8,0,0,5,7|6;7,A53,RGS01,-,150,1,-1,-
A56,Menonton TV siang,-1,0,0,0,-1;-1;4,0.2;0.2;8,1.2;1.2;2,1;1;8,30;30;6,-1;-1;6,1;1;1,0.6;0.6;3,0.007;-0.2;1,01:00,14:00,0,2.5,5,3,0,0,1,1|1,-,RKG01,-,150,1,25,TV;Sofa
A57,Pergi jalan ke Mall,-1,0,1,0,-2.3;-2.3;9,0.4;0.4;9,1.7;1.7;9,1.5;1.5;8,15;15;9,-2.3;-2.3;3,1.1;1.1;3,0.1;0.1;7,0.001;-0.3;1,02:30,15:00,4,4.5,5,8,0,0,3,7|6,-,RGS01,-,150,1,-1,-
A58,Pulang jalan dari Mall,1,0,0,0,-2.3;-2.3;9,0.3;0.3;9,0;0;9,1.5;1.5;8,15;15;9,-2.3;-2.3;3,1;1;3,0.6;0.6;7,0.003;-0.6;0.8,00:03,17:30,0,5,5,5,0,0,5,7|6,A58,RGS01,-,150,1,-1,-
A59,Menghidupkan pompa 1,1,1,0,0,-2.3;-2.3;9,0.1;0.1;9,1;1;9,1.5;1.5;8,15;15;9,-2.3;-2.3;3,1.1;1.1;3,0.1;0.1;7,0.003;-0.6;0.8,00:30,15:00,0,4.5,2,8,1,10,5,1|1,-,RTS01,-,150,1,-1,Pompa
A60,Mematikan pompa 1,1,0,0,0,-1;-1;9,0.1;0.1;9,0;0;9,1;1;8,30;30;9,-1;-1;3,0;0;3,0;0;7,0.003;-0.6;0.8,00:03,15:30,0,3,2,8,1,10,5,1|1,A60,RTS01,-,150,1,-1,Pompa
A61,Menyiram tanaman sore hari,3,0,0,0,-1;-1;4,0.1;0.1;8,0;0;2,1;1;8,30;30;6,-1;-1;6,0;0;1,0;0;3,0.003;-0.6;0.6,00:20,15:30,0,3,5,6,0,0,3,1|1,-,RHD01,-,-1,1,-1,-
A62,Mengangkat jemuran,3,0,0,0,-2.3;-2.3;9,0.4;0.4;9,1;1;9,1.5;1.5;8,15;15;9,-2.3;-2.3;7,1.5;1.5;3,0.5;0.5;7,0.003;-0.6;0.8,00:20,16:00,0,6,4,10,1,8,5,1|1,A45,RCC01,-,150,1,-1,-
A63,Kegiatan sosial di sore hari,-1,0,1,0,-2.3;-2.3;4,0.3;0.3;8,1.8;1.8;2,1.5;1.5;8,15;15;6,-2.3;-2.3;6,1;1;1,0.6;0.6;3,0.003;-0.6;1,01:00,16:00,4,5,2,6,1,5,2,7|5,-,RTS01,-,150,1,-1,-
A64,Menghidupkan pompa 2,1,1,0,0,-2.5;-2.5;9,0.1;0.1;9,1;1;9,1.5;1.5;8,15;15;9,-2.5;-2.5;3,1;1;3,0.6;0.6;7,0.005;-0.1;0.8,00:30,16:00,0,6.5,2,8,1,10,5,7|6;7,-,RMK01,-,150,1,-1,Pompa
A65,Mematikan pompa 2,1,0,0,0,-1;-1;9,0.1;0.1;9,0;0;9,1;1;8,30;30;9,-1;-1;3,0;0;3,0;0;7,0.003;-0.6;0.8,00:03,16:30,0,3,2,8,1,10,5,7|6;7,A66,RMK01,-,150,1,-1,Pompa
A66,Memasak makan malam dengan rice cooker 1,2,1,0,0,-1;-1;5,0.1;0.1;8,0;0;4,1;1;8,30;30;8,-1;-1;6,0;0;2,0;0;2,0.003;-0.6;0.8,04:00,17:00,0,3,4,7,0,0,5,1|1,-,RDP01,-,150,1,-1,RCooker
A67,Mematikan rice cooker 1,1,0,0,0,-1;-1;9,0.1;0.1;9,0;0;9,1;1;8,30;30;9,-1;-1;3,0;0;3,0;0;7,0.003;-0.6;0.8,00:03,21:00,0,3,2,6,1,10,5,1|1,A72,RDP01,-,150,1,-1,RCooker
A68,Pergi mengambil laundry,-1,0,1,0,-2.5;-2.5;9,0.4;0.4;9,1.5;1.5;9,1.5;1.5;8,15;15;9,-2.5;-2.5;3,1.1;1.1;3,-0.1;-0.1;7,0.005;-0.1;0.8,00:30,17:00,3,6.5,2,10,0,0,5,7|-2,-,RGS01,-,150,1,-1,-
A69,Mengawasi anak 2 bermain,4,0,0,0,-1.5;-1.5;4,1;1;8,1.2;1.2;2,1.75;1.75;8,22.5;22.5;6,-1.5;-1.5;6,1.25;1.25;1,-0.75;-0.75;3,0.05;-0.5;0.8,01:30,17:30,0,3.5,5,7,0,0,5,1|1,-,RKG01,-,150,1,-1,-
A70,Memandikan anak 2 sore hari,2,0,0,0,-2.3;-2.3;9,0.4;0.4;9,1;1;9,1.5;1.5;8,15;15;9,-2.3;-2.3;4,1.5;1.5;3,0.5;0.5;7,0.005;-0.1;0.8,00:10,17:30,0,5.5,5,7,0,0,5,1|1,-,RKM01,-,150,1,-1,-
A71,Menyetrika pakaian,4,0,0,0,-2.3;-2.3;9,0.3;0.3;9,0;0;9,1.5;1.5;8,15;15;9,-2.3;-2.3;7,1;1;3,0.6;0.6;7,0.003;-0.6;0.9,02:00,17:00,0,5,5,8,1,6,4,1|1,-,RGD01,-,150,1,-1,Setrika
A72,Menghidupkan lampu halaman di sore hari,1,1,0,0,-2;-2;8,0.4;0.4;8,0;0;6,1.75;1.75;9,22.5;22.5;8,-2;-2;8,1.05;1.05;7,0.5;0.5;7,0.003;-0.6;0.8,12:00,17:30,0,6.5,2,6,1,8,5,1|1,-,RTS01,-,150,1,-1,Lamp
A73,Mematikan lampu halaman di pagi hari,1,0,0,0,-1;-1;6,0.1;0.1;9,0;0;8,1;1;9,30;30;8,-1;-1;3,0;0;9,0;0;7,0.003;-0.6;0.8,00:03,05:30,0,2,3,6,1,10,5,1|1,A72,RTS01,-,150,1,-1,Lamp
A74,Menghidupkan lampu garasi di sore hari,1,1,0,0,-1;-1;8,0.1;0.1;8,0;0;6,1;1;9,30;30;8,-1;-1;8,0;0;7,0;0;7,0.003;-0.6;0.8,12:00,17:30,0,2,2,6,1,8,5,1|1,-,RTS01,-,150,1,-1,Lamp
A75,Mematikan lampu garasi di pagi hari,1,0,0,0,-2.3;-2.3;6,0.3;0.3;9,1.3;1.3;8,1.5;1.5;9,15;15;8,-2.3;-2.3;3,1;1;9,0.6;0.6;7,0.003;-0.6;0.8,00:03,05:30,0,5,2,6,1,8,5,1|1,A74,RTS01,-,150,1,-1,Lamp
A76,Memasak makan malam dengan kompor gas,3,0,0,0,-2.5;-2.5;5,0.3;0.3;8,1.5;1.5;4,1.5;1.5;8,15;15;8,-2.5;-2.5;6,1.3;1.3;2,0.3;0.3;2,0.003;-0.6;0.9,01:00,17:30,0,6.5,5,8,0,0,5,1|1,-,RDP01,-,150,1,-1,Kompor
A77,Mencuci piring dan alat masak malam,3,0,0,0,-2.3;-2.3;9,0.3;0.3;9,0;0;9,1.5;1.5;8,15;15;9,-2.3;-2.3;7,1;1;3,0.6;0.6;7,0.003;-0.6;0.8,00:20,18:30,0,5,5,10,1,8,2,1|1,A76,RDP01,-,150,1,-1,Wastafel
A78,Pergi makan malam di luar rumah,-1,0,1,0,-2.5;-2.5;9,0.2;0.2;9,1.7;1.7;9,1.5;1.5;8,15;15;9,-2.5;-2.5;3,1.1;1.1;3,0.1;0.1;7,0.007;-0.2;1,02:00,18:00,4,6.5,5,8,0,0,5,1|1,-,RGS01,-,150,1,-1,-
A79,Pulang makan malam dari luar rumah,1,0,0,0,-1;-1;9,0.2;0.2;9,1;1;9,1;1;8,30;30;9,-1;-1;3,0;0;3,0;0;7,0.007;-0.2;0.8,00:20,20:00,0,2.5,5,8,0,0,5,7|6;7,A77,RGS01,-,150,1,-1,-
A80,Menyuapi anak 2 makan malam,3,0,0,0,-2.3;-2.3;9,0.3;0.3;9,0;0;4,1.5;1.5;8,15;15;8,-2.3;-2.3;3,1;1;2,0.6;0.6;2,0.003;-0.6;0.8,00:30,19:00,0,5,5,8,0,0,5,1|1,-,RMK01,-,150,1,-1,-
A81,Menonton TV malam,-1,0,0,0,-2.3;-2.3;4,0.4;0.4;8,1.7;1.7;2,1.5;1.5;8,15;15;6,-2.3;-2.3;6,1.1;1.1;1,0.1;0.1;3,0.001;-0.3;1,01:30,19:00,0,4.5,5,4,0,0,5,1|1,-,RKG01,-,150,1,25,TV;Sofa
A82,Berdandan setelah mandi,-1,0,0,0,-1;-1;10,0.1;0.1;8,0;0;2,1;1;8,30;30;10,-1;-1;6,0;0;6,0;0;9,0.003;-0.6;0.5,00:10,-,0,3,5,4,0,0,2,1|1,B07,RKM01,-,150,0.5,-1,Lemari
A83,Mengganti galon,-1,0,0,0,-1;-1;4,0.2;0.2;8,0;0;2,1;1;8,30;30;6,-1;-1;6,0;0;1,0;0;3,0.05;-0.5;0.8,00:10,-,0,3,2,10,1,3,5,1|1,-,RMK01,-,150,1,-1,Dispenser
A84,Membaca,-1,0,0,0,-1.3;-1.3;4,0.2;0.2;8,1.3;1.3;2,1.75;1.75;8,22.5;22.5;6,-1.3;-1.3;3,1.5;1.5;1,0.5;0.5;3,0.05;-0.5;1,00:30,-,0,4,5,8,0,0,5,1|1,-,RKG01,-,150,0.6,25,Sofa
A85,Bersantai,-1,0,0,0,-1;-1;4,0.2;0.2;8,1.5;1.5;2,1;1;8,30;30;6,-1;-1;3,-3;-3;1,0.3;0.3;3,0.05;-0.5;0.6,01:30,-,0,2,5,8,0,0,5,1|1,-,RKG01,-,150,1,25,Sofa
B01,Bangun tidur,-1,0,0,1,-0.9;-0.9;0,0;0;0,1;1;0,1;1;0,30;30;0,-0.9;-0.9;0,0;0;0,-0.5;-0.5;0,0.01;-0.1;0,00:05,-,0,0,0,0,0,0,0,1|1,-,RTU01,-,-1,-1,-1,-
B02,Makan,-1,0,0,1,-1.5;-1.5;0,0;0;0,1;1;0,1.75;1.75;0,22.5;22.5;0,-1.5;-1.5;0,0;0;0,0;0;0,0.01;-0.1;0,00:15,-,0,0,0,0,0,0,0,1|1,-,RMK01,-,-1,-1,-1,Kursi
