ID,Decription,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Energy,Exhausted,Sleepy,Defecate,Urinate,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,FollowerActivity,FollowMovement,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
P15,Menunggu agen01/02 mengambil makan malam,2,0,0,0,0;1,-1;396.094,0;9,0.5;9,-1;1109.08,0.1;5,0.1;5,2.719;21.752,30;54,0;0;0.5,0:05,18:10,0,3,5,8,0,0,5,1|1,-,agen01;agen02,-,0,S08-C,B02,-,RDP02|NONE,-|-,100;L1|-,5|5,-|-,-|-,-|-,Food:2|-,-,0,0,Room:0:0.1;Food:0:-2|-
A142,Bersantai malam,2,0,0,0,0;1,-1;1056.264,0.25;8,1;2,-1;475.32,1;1,1.5;3,2.719;21.752,30;36,0.05;-0.025;0.125,3:00,18:00,0,2,8,8,1,5,2.5,1|1,-,-,-,0,-,-,-,RKG01|RTU01,-|R1,100;L1|100;L1,5|5,27|27,Sofa|Bed,L2;E2|L2;R2;E2,-|-,-,1,Exhausted,Room:0:0.1;Fan:1:0|Room:0:0.1;Fan:1:0
A155,Bermain dengan agen01/02 di malam hari,2,0,0,0,1;0,-2.5;792.196,0.25;6,1.5;4,-2.5;475.32,1.5;2,1.5;2,2.719;21.752,15;48,0.025;-0.025;0.25,3:00,19:05,0,3,8,8,1,,7.5,1|1,-,agen01;agen02,-,0,S07-M,-,-,RTM01|RKG01,-|-,100;L1|100;L1,5|5,27|27,-|-,-|E2,-|-,-,0,0,Room:0:0.5|Room:0:0.5
A04,Belanja,1,0,1,0,1;0,-2.3;924.23,0.25;8,1;2,-2.3;633.76,1.25;2,1;3,2.719;21.752,15;48,0.05;0;0.25,2:00,19:00,0,6.5,10,8,1,10,5,7|-3,-,agen01,-,0,-,-,-,RTS01|NONE,R1|-,60;CC|-,5|5,-|-,-|-,R2|-,RawFood:5|-,-,0,0,Room:0:0.1;RawFood:0:30;Trash:0:0.1|-
A75,Berdandan setelah mandi,-1,0,0,0,0;1,-1;528.128,0.25;2,1;2,-1;950.64,1;6,1;8,2.719;21.752,30;30,0.025;0;0.125,0:10,-,0,3,6,8,0,0,5,1|1,B07,-,-,0,S09-C,-,-,RTU01|NONE,R1|-,100;L1|-,5|5,-|-,-|-,R2;L2;E2|-,ReadyUseCloth:0|-,-,2,ReadyUseCloth,Room:0:0.1;ReadyUseCloth:0:-1|-
B01,Bangun tidur,-1,0,0,1,0;1,0;0,0.25;0,1;0,0;0,0;0,0;0,0;0,0;0,0;-0.025;-0.05,00:05,-,0,0,0,0,0,0,0,1|1,-,-,-,0,-,-,-,RTU01|NONE,R1|-,-|-,5|5,-|-,Bed|-,R2;L2;E2|-,-|-,-,0,0,Room:0:0.1|-
B02,Makan,-1,0,0,1,0;1,0;0,0.25;0,1;0,0;0,0;0,1;0,0;0,0;0,0;-0.025;-0.05,00:15,-,0,0,0,0,0,0,0,1|1,-,-,-,0,-,B03,-,RKG01|RTM01,-|-,100;L1|100;L1,5|5,-|-,Sofa;Chair|Sofa,E2|-,-|-,-,1,Hunger,Room:0:0.1;DirtyUtensil:0:0.5;Trash:0:0.05|-
B03,Minum,-1,0,0,1,0;1,0;0,0.25;0,-1;0,0;0,0;0,0;0,0;0,0;0,0;0;-0.05,00:05,-,0,0,0,0,0,0,0,1|1,-,-,-,0,-,-,-,RDP02|NONE,-|-,100;L1|-,5|5,-|-,-|-,-|-,DrinkWater:0|-,-,1,Thirst,Room:0:0.1;DirtyUtensil:0:0.5;DrinkWater:10:0|-
B04,Tidur,-1,0,0,1,0;1,0;0,0.25;0,1;0,0;0,1.75;0,0;0,0;0,0;0,0;0;-0.05,-,-,0,0,0,0,0,0,0,1|1,-,-,-,0,-,-,-,RTU01|NONE,R1|-,100;L1|-,5|5,27|-,Bed|-,R2;L2;E2|-,-|-,-,1,Sleepy,Room:0:0.1;KP01:1:0|-
B05,BAK,-1,0,0,1,0;1,0;0,0.25;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0;-0.05,00:05,-,0,0,0,0,0,0,0,1|1,-,-,-,0,-,-,-,RKM02|RKM03,CC|CC,100;L1|100;L1,2|2,-|-,Closet|Closet,R2;L2;D2|R2;L2;D2,Water:10|Water:10,-,1,Urinate,Room:0:0.1;Water:0:-10;Water:6:-0.25|Room:0:0.1;Water:0:-10;Water:6:-0.25
B06,BAB,-1,0,0,1,0;1,0;0,0.25;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0;-0.05,00:10,-,0,0,0,0,0,0,0,1|1,-,-,-,0,-,-,-,RKM02|RKM03,CC|CC,100;L1|100;L1,2|2,-|-,Closet|Closet,R2;L2;D2|R2;L2;D2,Water:15|Water:15,-,1,Defecate,Room:0:0.1;Water:0:-15;Water:6:-0.25|Room:0:0.1;Water:0:-15;Water:6:-0.25
B07,Mandi,-1,0,0,1,0;1,0;0,0;0,1;0,0;0,1;0,0;0,0;0,0;0,0;0;-0.05,00:15,-,0,0,0,0,0,0,0,1|1,-,-,-,0,S09-M,A75,-,RKM02|RKM04,CC|CC,100;L1|100;L1,2|2,-|-,Closet|Closet,R2;L2;D2|R2;L2;D2,Water:45|Water:45,-,1,Dirty,Room:0:0.1;Water:0:-45;Water:6:-0.25|Room:0:0.1;Water:0:-45;Water:6:-0.091
