ID,Description,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Defecate,Urinate,Energy,Exhausted,Sleepy,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,FollowerActivity,FollowerMovement,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
A88,Menyapu Selasar Lt. 1 pagi,3,0,0,0,1;0,-3.3;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.3;1294.428,1.25;3,1;7,0.5;0;-0.104,0:04,7:32,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,,,S01-M,A10,-,RSL01|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,-|-,-,8,-,Room:0:-1|-
A10,Menyapu Dapur Bersih pagi,3,0,0,0,1;0,-3.3;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.3;1294.428,1.25;3,1;7,0.5;0;-0.104,0:04,7:36,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,,,S01-M,A89,-,RDP02|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,-|-,-,8,-,Room:0:-1|-
A89,Menyapu Ruang Makan pagi,3,0,0,0,1;0,-3.3;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.3;1294.428,1.25;3,1;7,0.5;0;-0.104,0:05,7:40,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,,,S01-M,A90,-,RMK01|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,-|-,-,8,-,Room:0:-1|-
A90,Menyapu Ruang Keluarga 2 pagi,3,0,0,0,1;0,-3.3;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.3;1294.428,1.25;3,1;7,0.5;0;-0.104,0:02,7:45,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,,,S01-M,A91,-,RKG02|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,-|-,-,8,-,Room:0:-1|-
A91,Menyapu Ruang Santai pagi,3,0,0,0,1;0,-3.3;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.3;1294.428,1.25;3,1;7,0.5;0;-0.104,0:08,7:47,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,,,S01-M,A11,-,RST01|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,-|-,-,8,-,Room:0:-1|-
A11,Menyapu Ruang Keluarga 1 pagi,3,0,0,0,1;0,-3.3;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.3;1294.428,1.25;3,1;7,0.5;0;-0.104,0:05,7:55,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,,,S01-M,A121,-,RKG01|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,-|-,-,8,-,Room:0:-1|-
A121,Menyapu Ruang Akuarium 1 pagi,3,0,0,0,1;0,-3.3;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.3;1294.428,1.25;3,1;7,0.5;0;-0.104,0:05,8:00,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,,,S01-M,A12,-,RAK01|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,-|-,-,8,-,Room:0:-1|-
A12,Menyapu Ruang Tamu 1 pagi,3,0,0,0,1;0,-3.3;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.3;1294.428,1.25;3,1;7,0.5;0;-0.104,0:05,8:05,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,,,S01-M,A92,-,RTM01|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,-|-,-,8,-,Room:0:-1|-
A92,Menyapu Ruang Tamu 2 pagi,3,0,0,0,1;0,-3.3;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.3;1294.428,1.25;3,1;7,0.5;0;-0.104,0:02,8:10,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,,,S01-M,A13,-,RTM02|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,-|-,-,8,-,Room:0:-1|-
A13,Menyapu Teras 1 dan 2 pagi,3,0,0,0,1;0,-3.3;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.3;1294.428,1.25;3,1;7,0.5;0;-0.104,0:02,8:12,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,,,S01-M,A80,-,RTS01|RTS02,R1|R1,15;L1|15;L1,-|-,-|-,-|-,L2|L2,-|-,-,8,-,Room:0:-1|Room:0:-1
A14,Mengepel Ruang Tidur Utama 1 pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.5;1294.428,1.25;3,1;7,0.5;0;-0.104,0:04,8:18,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A05,-,,,S01-M,A93,-,RTU01|NONE,R1|-,15;L1|-,-|-,-|-,-|-,L2;R2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A93,Mengepel Ruang Tidur Anak 1 pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.5;1294.428,1.25;3,1;7,0.5;0;-0.104,0:04,8:22,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A83,-,,,S01-M,A94,-,RTA01|NONE,R1|-,15;L1|-,-|-,-|-,-|-,L2;R2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A94,Mengepel Ruang Tidur Anak 2 pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.5;1294.428,1.25;3,1;7,0.5;0;-0.104,0:02,8:26,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A84,-,,,S01-M,A95,-,RTA02|NONE,R1|-,15;L1|-,-|-,-|-,-|-,L2;R2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A95,Mengepel Ruang Tidur Anak 3 pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.5;1294.428,1.25;3,1;7,0.5;0;-0.104,0:02,8:28,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A85,-,,,S01-M,A96,-,RTA03|NONE,R1|-,15;L1|-,-|-,-|-,-|-,L2;R2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A96,Mengepel Ruang Tidur Tamu pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.5;1294.428,1.25;3,1;7,0.5;0;-0.104,0:04,8:30,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A86,-,,,S01-M,A97,-,RTD01|NONE,R1|-,15;L1|-,-|-,-|-,-|-,L2;R2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A97,Mengepel Selasar Lt. 2 pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.5;1294.428,1.25;3,1;7,0.5;0;-0.104,0:03,8:34,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A87,-,,,S01-M,A20,-,RSL02|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A20,Mengepel Ruang Tamu 1 pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.5;1294.428,1.25;3,1;7,0.5;0;-0.104,0:03,8:37,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A12,-,,,S01-M,A98,-,RTM01|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A98,Mengepel Ruang Tamu 2 pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.5;1294.428,1.25;3,1;7,0.5;0;-0.104,0:05,8:40,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A92,-,,,S01-M,A19,-,RTM02|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A19,Mengepel Ruang Keluarga 1 pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.5;1294.428,1.25;3,1;7,0.5;0;-0.104,0:05,8:45,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A11,-,,,S01-M,A170,-,RKG01|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A170,Mengepel Ruang Akuarium 1 pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.5;1294.428,1.25;3,1;7,0.5;0;-0.104,0:04,8:50,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A121,-,,,S01-M,A99,-,RAK01|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A99,Mengepel Ruang Keluarga 2 pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.5;1294.428,1.25;3,1;7,0.5;0;-0.104,0:01,8:54,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A90,-,,,S01-M,A100,-,RKG02|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A100,Mengepel Ruang Santai pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.5;1294.428,1.25;3,1;7,0.5;0;-0.104,0:01,8:55,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A91,-,,,S01-M,A101,-,RST01|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A101,Mengepel Ruang Makan pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.5;1294.428,1.25;3,1;7,0.5;0;-0.104,0:02,8:57,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A89,-,,,S01-M,A18,-,RMK01|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A18,Mengepel Dapur Bersih pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.5;1294.428,1.25;3,1;7,0.5;0;-0.104,0:01,8:59,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A10,-,,,S01-M,A102,-,RDP02|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A102,Mengepel Selasar Lt. 1 pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.5;1294.428,1.25;3,1;7,0.5;0;-0.104,0:03,9:00,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A88,-,,,S01-M,A17,-,RSL01|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A17,Mengepel Dapur Kotor pagi,3,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.5;1294.428,1.25;3,1;7,0.5;0;-0.104,0:01,9:03,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A09,-,,,S01-M,A21,-,RDP01|NONE,-|-,15;L1|-,-|-,-|-,-|-,L2|-,Water:1|-,-,8,-,Room:5:0;Water:0:-5|-
A21,Mengepel Teras pagi,5,0,0,0,1;0,-3.5;539.351,0.25;8,1.5;9,1.3098;50.296,3.75;303.75,-3.5;1294.428,1.25;3,1;7,0.5;0;-0.104,0:45,8:00,0,5,10,10,1.5,10,10,7|1;2;3;4;5,A13,-,,,S01-M,-,-,RTS01|RTS02,R1|R1,15;L1|15;L1,-|-,-|-,-|-,L2|L2,Water:1|-,-,8,-,Room:5:0;Water:0:-5|Room:5:0;Water:0:-5
A42,Mencuci dengan mesin cuci,5,0,0,0,1;0,-2;539.351,0.25;8,1;9,1.3098;50.296,7.5;303.75,-2;1078.69,1;3,1;7,0.5;0;-0.104,0:55,8:00,0,6.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,,,-,A43,-,RDP01|NONE,-|-,15;L1|-,-|-,-|-,WMachine|-,-|-,Water:150;DirtyCloth:0|-,-,5,DirtyCloth,Room:0:0.1;Water:0:-150;DirtyCloth:5:0;CleanWetCloth:7:0.91|-
A106,Membersihkan akuarium,1,0,0,0,1;0,-3.8;539.351,0.25;8,1;9,1.3098;50.296,3.75;303.75,-3.8;1510.166,1.25;3,1;7,0.5;-0.25;-0.104,0:15,9:00,0,6.5,10,10,1.5,10,10,30|-4,-,-,,,-,-,-,RAK01|RDP01,-|-,15;L1|15;L1,-|-,-|-,Aquarium|Faucet,L2|D2,Water:84,-,5,DirtyWater,Room:0:0.1|Room:0:0.1;Water:0:-84;Water:6:-0.086
A43,Menjemur pakaian,5,0,0,0,0;1,-2.3;539.351,0.25;8,1.75;9,1.3098;50.296,7.5;303.75,-2.3;1294.428,1;3,1;7,0.5;-0.25;-0.104,0:20,9:00,0,4,10,10,1.5,10,10,7|1;2;3;4;5,A42,-,,,-,-,-,RGS01|NONE,R1|-,15;L1|-,1.67|-,-|-,-|-,-|-,CleanWetCloth:0|-,-,5,-,Room:0:1;CleanWetCloth:5:0;CleanDryCloth:7:360|-
A04,Belanja,1,0,1,0,0;1,-2.3;1258.475,0.25;8,1;2,1.3098;50.296,7.5;270,-2.3;862.952,1;2,1;3,0.5;-0.25;-0.104,0:15,10:00,0,6.5,10,8,1.5,10,10,7|1;2;3;4;5,-,-,,,-,-,-,RGS01|NONE,R1|-,15;L1|-,-|-,-|-,-|-,-|-,RawFood:0|-,-,2,RawFood,Room:0:0.1;Rawfood:0:50;Trash:0:1|-
P29,Wudhu 2,5,0,0,0,0;1,-1;539.351,0.25;8,1;9,1.3098;50.296,15;303.75,-1;1294.428,1;3,1;7,0.5;-0.25;-0.104,0:05,12:00,0,2,8,10,1,10,10,7|1;2;3;4;5,-,-,,,S12-C,A105,-,RDP01|NONE,-|-,15;L1|-,-|-,-|-,Faucet|-,D2|-,Water:0|-,-,0,0,Room:0:0.1;Water:11:-0.089;Water:11:-0.086|-
A105,Ibadah 2,5,0,0,0,0;1,-1;539.351,0.25;8,1;9,1.3098;50.296,15;303.75,-1;1294.428,1;3,1;7,0.5;-0.25;-0.104,0:15,12:05,0,2,10,10,1,10,10,7|1;2;3;4;5,P29,-,,,S12-M,-,-,RKG02|NONE,R1|-,15;L1|-,0.17|-,-|-,-|-,L2|-,-|-,-,0,0,Room:0:0.1|-
A47,Memasak makan siang dengan rice cooker,5,1,0,0,0;1,-2;1258.475,0.25;8,1;4,1.3098;50.296,11.25;270,-2;1294.428,1;2,1;2,0.5;0;-0.104,6:00,12:00,0,6.5,10,10,1,8,10,1|1,-,agen02,,,-,-,-,RSL01|NONE,-|-,15;L1|-,1.67|-,-|-,RCooker|-,L2|-,Water:12;RawFood:4|-,Hunger;6,3,Hunger;1.2,Room:0:0.1;Water:0:-12;RC02:1:0.4;RawFood:0:-3;Food:4:6|-
A171,Mencuci piring dan alat masak siang,5,0,0,0,1;0,-2.3;1438.256,0.25;8,1.5;2,1.3098;50.296,7.5;202.5,-2.3;862.952,1;1,1;3,0.5;0;-0.104,0:20,12:00,0,4.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,,,-,-,-,RDP02|NONE,-|-,15;L1|-,-|-,-|-,Sink|-,L2;D2|-,Water:0;DirtyUtensil:0|-,-,5,DirtyUtensil,Room:0:0.1;DirtyUtensil:5:0;Water:11:-0.055|-
A56,Mengangkat jemuran,5,0,0,0,0;1,-2.3;1438.256,0.25;8,1.75;2,1.3098;50.296,7.5;202.5,-2.3;862.952,1.25;1,1;3,0.5;-0.25;-0.104,0:15,12:00,0,4.5,10,10,1.5,10,10,7|1;2;3;4;5,A43,-,,,-,-,-,RGS01|NONE,R1|-,15;L1|-,1.67|-,-|-,-|-,-|-,CleanDryCloth:0|-,-,9,CleanDryCloth,Room:0:1;CleanDryCloth:8:0|-
A168,Mengganti galon air RO,5,0,0,0,0;1,-2.3;1078.694,0.25;8,1;8,1.3098;50.296,15;270,-2.3;1725.904,1.25;5,1;5,0.5;-0.25;-0.104,0:15,12:00,0,6.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,,,-,-,-,RDP02|RST02,-|-,15;L1|15;L1,-|-,-|-,WFilter|Dispenser,L2|L2;E1,DrinkWater:19|-,-,9,DrinkWater,Room:0:0.1;DrinkWater:0:-19|Room:0:0.1;DrinkWater:0:19
A78,Mengoperasikan gadget,1,0,0,0,1;0,-1.3;539.351,0.25;8,1;9,1.3098;50.296,11.25;303.75,-1.3;1510.166,1;5,1;5,0.5;-0.25;-0.104,0:15,12:00,0,3.5,8,8,1,10,5,1|1,-,-,,,-,-,-,RKG01|RKG02,-|-,15;L1|15;L1,1.67|1.67,-|-,Sofa|-,-|-,-|-,-,0,0,Room:0:0.1|Room:0:0.1
A65,Menyetrika pakaian,5,0,0,0,1;0,-2.3;539.351,0.25;8,1.75;9,1.3098;50.296,3.75;303.75,-2.3;1725.904,1.25;6,1.25;6,0.5;-0.25;-0.104,3:00,13:00,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,A56,-,,,-,-,-,RKG02|NONE,-|-,15;L1|-,1.67|-,-|-,Iron|-,L2;E2|-,CleanDryCloth:0|-,-,5,CleanDryCloth2,Room:0:0.1;CleanDryCloth2:5:0;ReadyUseCloth:7:3|-
P30,Wudhu 3,5,0,0,0,0;1,-1;539.351,0.25;8,1;9,1.3098;50.296,15;303.75,-1;1294.428,1;3,1;7,0.5;-0.25;-0.104,0:05,15:00,0,2,10,10,1,10,10,7|1;2;3;4;5,-,-,,,S14-C,A107,-,RDP01|NONE,-|-,15;L1|-,-|-,-|-,Faucet|-,D2|-,Water:0|-,-,0,0,Room:0:0.1;WT17:1:-0.089;WT04:1:-0.086|-
A107,Ibadah 3,5,0,0,0,0;1,-2;539.351,0.25;8,1;9,1.3098;50.296,15;303.75,-2;1294.428,1;3,1;7,0.5;-0.25;-0.104,0:15,15:05,0,3,10,10,1,10,10,7|1;2;3;4;5,P30,-,,,S14-M,-,-,RKG02|NONE,R1|-,15;L1|-,0.17|-,-|-,-|-,L2|-,-,-,0,0,Room:0:0.1|-
A172,Mencuci piring dan alat masak sore,5,0,0,0,1;0,-2.3;1438.256,0.25;8,1.5;2,1.3098;50.296,7.5;202.5,-2.3;862.952,1;1,1;3,0.5;0;-0.104,0:20,15:00,0,4.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,,,-,-,-,RDP02|NONE,-|-,15;L1|-,-|-,-|-,Sink|-,L2;D2|-,Water:0;DirtyUtensil:0|-,-,5,DirtyUtensil,Room:0:0.1;DirtyUtensil:5:0;WT09:-0.129|-
P06,Mengambil sampah,5,0,0,0,1;0,-2;539.351,0.25;8,1.25;9,1.3098;50.296,7.5;303.75,-2;1510.166,1;5,1;5,0.5;0;-0.104,0:02,15:00,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,-,-,,,S04-C,P36,-,RKG01|NONE,-|-,15;L1|-,-|-,-|-,TrashCan|-,L2|-,Trash:0|-,-,8,-,Room:0:0.1;Trash:8:0|-
P36,Mengambil sampah,5,0,0,0,1;0,-2;539.351,0.25;8,1.25;9,1.3098;50.296,7.5;303.75,-2;1510.166,1;5,1;5,0.5;0;-0.104,0:02,15:00,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,P06,-,,,S04-C,P37,-,RAK01|NONE,-|-,15;L1|-,-|-,-|-,TrashCan|-,L2|-,Trash:0|-,-,8,-,Room:0:0.1;Trash:8:0|-
P37,Mengambil sampah,5,0,0,0,1;0,-2;539.351,0.25;8,1.25;9,1.3098;50.296,7.5;303.75,-2;1510.166,1;5,1;5,0.5;0;-0.104,0:02,15:04,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,P36,-,,,S04-C,P38,-,RTU01|NONE,R1|-,15;L1|-,-|-,-|-,TrashCan|-,L2|-,Trash:0|-,-,8,-,Room:0:0.1;Trash:8:0|-
P38,Mengambil sampah,5,0,0,0,1;0,-2;539.351,0.25;8,1.25;9,1.3098;50.296,7.5;303.75,-2;1510.166,1;5,1;5,0.5;0;-0.104,0:02,15:06,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,P37,-,,,S04-C,P39,-,RTA02|NONE,R1|-,15;L1|-,-|-,-|-,TrashCan|-,L2|-,Trash:0|-,-,8,-,Room:0:0.1;Trash:8:0|-
P39,Mengambil sampah,5,0,0,0,1;0,-2;539.351,0.25;8,1.25;9,1.3098;50.296,7.5;303.75,-2;1510.166,1;5,1;5,0.5;0;-0.104,0:02,15:08,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,P38,-,,,S04-C,P40,-,RTA01|NONE,R1|-,15;L1|-,-|-,-|-,TrashCan|-,L2|-,Trash:0|-,-,8,-,Room:0:0.1;Trash:8:0|-
P40,Mengambil sampah,5,0,0,0,1;0,-2;539.351,0.25;8,1.25;9,1.3098;50.296,7.5;303.75,-2;1510.166,1;5,1;5,0.5;0;-0.104,0:02,15:10,0,5.5,10,10,1.5,10,10,7|1;2;3;4;5,P39,-,,,S04-C,P41,-,RDP01|NONE,-|-,15;L1|-,-|-,-|-,TrashCan|-,L2|-,Trash:0|-,-,8,-,Room:0:0.1;Trash:8:0|-
