ID,CanInterrupt,CanBeInterrupted,StartTimeCanStart,EndTimeCanStart,Duration,Plan,Habit,Rules,Exhaust,Sleepy,Dirty,Urinate,Defecate,Energy,Hunger,Thirsty,Ability,Stress,Emotion,Mood,Loneliness,,,,,,,,
MT2,1,0,16:00,17:00,10,8,0,7.2,1,1,1,1,1,-1,1,1,-1,1.7,1.4,1.4,1.6,,,,,,,1,-1
GR,1,0,16:00,17:00,6,8,0,7.2,1,1,1,1,1,-1,1,1,-1,0,0,1.28,0,,,,,,,1,-1
MB12,0,1,15:00,15:30,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
MD2,0,0,18:30,19:00,30,0,8,0,-1,0,-1,-1,-1,1,1,1,-1,2,2,2,2,,,,,,,1,-1
MA2,0,0,18:30,19:00,30,8,0,0,1,0,1,-1,-1,-1,1,1,-1,0,0,0,0,,,,,,,1,-1
CC1,0,1,09:00,11:00,45,0,8,0,1,1,1,1,1,-1,1,1,-1,0,0,0,0,,,,,,,1,-1
CC2,0,0,09:00,11:00,30,6,0,0,0,0,1,1,1,-1,1,1,-1,0,0,0,0,,,,,,,1,-1
CC4,0,1,09:00,11:00,20,6,0,0,1,1,1,1,1,-1,1,1,-1,0,0,0,0,,,,,,,1,-1
CC5,0,1,17:00,18:00,10,6,0,0,1,1,1,1,1,-1,1,1,-1,0,0,0,0,,,,,,,1,-1
CP1,0,1,09:00,10:00,5,4,0,0,0,0,0,1,1,0,1,1,-1,0,0,0,0,,,,,,,1,-1
CP2,0,1,18:30,19:00,5,4,0,0,0,0,0,1,1,0,1,1,-1,0,0,0,0,,,,,,,1,-1
CP3,0,1,09:00,10:00,5,4,0,0,0,0,0,1,1,0,1,1,-1,0,0,0,0,,,,,,,1,-1
CP4,0,1,18:30,19:00,5,4,0,0,0,0,0,1,1,0,1,1,-1,0,0,0,0,,,,,,,1,-1
CY1,0,0,06:00,07:00,30,8,0,0,1,1,1,1,1,-1,1,1,-1,-2.7,-2,0,2.7,,,,,,,1,-1
CY2,0,1,-1,-1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
CY3,0,1,15:30,17:00,120,2,0,0,1,1,1,1,1,-1,1,1,-1,-7.2,-4.7,0,7.2,,,,,,,1,-1
CY4,0,1,-1,-1,0,0,8,0,0,0,0,0,0,0,0,0,0,-1.2,-1.1,0,1.2,,,,,,,0,0
CY5,0,0,21:00,22:00,20,8,0,0,1,0,1,1,1,-1,1,1,-1,-2.2,-1.7,0,2.2,,,,,,,1,-1
MK5,0,0,19:00,20:00,30,8,0,0,1,0,1,1,1,-1,1,1,-1,2.7,2,0,2.7,,,,,,,1,-1
MK6,0,0,19:00,20:00,30,0,8,0,1,1,1,1,1,1,-1,-1,-1,2.7,2,2,2.7,,,,,,,-1,-1
BP,0,1,-1,-1,6,0,8,0,1,0,0,1,1,-1,1,1,-1,1.5,1.28,1.28,1.5,,,,,,,1,-1
MG1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
MG2,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
MG3,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
MG4,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
MG5,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
MG8,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
MG9,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
TDM,0,1,23:00,05:00,360,0,6,0,-1,0,1,1,1,1,1,1,-1,19.2,11.9,10.8,1.2,,,,,,,1,-1
TD,0,1,-1,-1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
TO,1,0,-1,-1,10,0,8,0,-1,0,1,1,1,-1,1,1,-1,1.7,1.4,0,1.2,,,,,,,1,-1
MD,0,0,-1,-1,15,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
BK,0,0,-1,-1,0,0,0,0,-1,0,-1,-1,-1,1,1,1,-1,1.95,1.55,0,1.2,,,,,,,1,-1
MK,0,1,21:00,22:00,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
MN1,0,1,07:30,08:30,6,0,8,0,-1,1,1,1,1,1,-1,-1,-1,1.7,1.4,1.4,0,,,,,,,-1,-1
MN2,0,1,12:00,13:00,6,0,8,0,-1,0,1,1,1,1,-1,-1,-1,1.5,1.28,0,0,,,,,,,-1,-1
MN3,0,1,19:00,20:00,6,0,8,0,-1,0,1,1,1,1,-1,-1,-1,1.5,1.28,0,0,,,,,,,-1,-1
MN4,0,1,-1,-1,6,0,8,0,-1,0,1,1,1,1,-1,-1,-1,1.5,1.28,0,0,,,,,,,-1,-1
MP,0,0,-1,-1,0,0,0,0,0,0,1,1,1,1,-1,-1,-1,1.5,1.28,0,0,,,,,,,-1,-1
BS,0,1,-1,-1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
GD1,0,1,-1,-1,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
GD2,1,1,-1,-1,20,0,4,0,1,1,1,1,1,0,1,1,-1,2.7,2,0,0,,,,,,,1,-1
RD,1,1,21:00,22:00,60,1,6,0,-1,1,1,1,1,-1,1,1,-1,2.2,1.7,1.7,0,,,,,,,1,-1
TV,1,1,-1,-1,0,0,4,0,0,0,1,1,1,1,1,1,-1,4.2,2.9,2.9,0,,,,,,,1,-1
BM1,0,1,-1,-1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
BM2,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
MT,1,0,15:00,15:30,20,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
KS,1,1,-1,-1,0,0,0,0,0,0,1,1,1,-1,1,1,-1,2.2,1.7,1.7,0,,,,,,,1,-1
IB,0,1,-1,-1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
BL,1,1,07:30,08:00,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
GL,1,0,18:00,18:30,5,6,0,0,1,0,1,1,1,-1,1,1,-1,0,0,0,0,,,,,,,1,-1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R Tamu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT Utama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dapur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R Keluarga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT Anak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT Nenek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R Makan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gudang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R Cuci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
