ID,Decription,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Defecate,Urinate,Energy,Exhausted,Sleepy,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
A24,Memasak makan pagi dengan kompor gas,1,0,0,0,0;1,-2.3;5,1;8,1;4,1;8,30;8,-2.3;6,1;2,1;2,0;0;0.229,0:25,9:00,0,6.5,4,6,1.2,10,7.5,30|-3,A22,-,-,-,-,RDP01|RDP02,R1|-,100;L1|100;L1,1|1,-|-,Stove|Refrigerator,R2;D2|D2,Gas:0;Water:10000|Rawfood:5,-,3,Hunger;0.8,Room:0:0.1;Gas:5:-0.0048;Water:0:-10000;DirtyUtensil:0:0.75;Trash:0:0.2|Room:0:0.1;Rawfood:0:-5;Food:0:5
A33,Bekerja di luar rumah,1,0,1,0,0;1,-2.3;5,1.75;5,1.75;5,1;5,30;5,-2.3;6,1.75;3,1.75;6,0;-0.025;0.115,9:00,9:00,0,6.5,8,10,1,10,10,7|1;2;3;4;5,-,-,-,-,-,RGS01|NONE,R1|-,-|-,1|-,-|-,-|-,R2|-,-|-,-,0,0,Room:0:0.1|-
A41,Mencuci baju konvensional,1,0,0,0,1;0,-3.8;9,1;9,1;9,1;8,15;9,-3.8;7,1.25;3,1.25;7,0;0;0.458,0:30,9:00,3,5,6,8,1,7.5,5,7|6;7,-,-,-,A43,A42,RKM03|NONE,CC|-,100;L1|-,0|-,-|-,-|-,R2;L2;D2|-,Water:150000;DirtyCloth:35|-,-,5,Water;DirtyCloth,Room:0:1;DirtyCloth:5:0;CleanWetCloth:7:0;Water:0:-150000|-
A42,Mencuci dengan mesin cuci,1,1,0,0,1;0,-2;9,1;9,1;9,1;8,30;9,-2;5,1.25;3,1;7,0;0;0.458,1:30,9:00,0,4.5,6,8,1,7.5,5,1|1,-,-,-,-,A41,RKM03|NONE,CC|-,100;L1|-,0|-,-|-,WMachine|-,R2;L2|-,Water:100000;DirtyCloth:35|-,-,5,Water;DirtyCloth,Room:0:1;DirtyCloth:5:0;CleanWetCloth:7:0;Water:0:-100000|-
A43,Menjemur pakaian,3,0,0,0,1;0,-2.3;9,1;9,1;9,1;8,30;9,-2.3;6,1;3,1.1;7,0;0;0.458,0:25,10:00,3,4,6,8,1.2,7.5,5,7|6;7,A41;A42,-,-,-,-,RKM03|NONE,CC|-,100;L1|-,0|-,-|-,-|-,R2|-,CleanWetCloth:35|-,-,5,CleanWetCloth,Room:0:1;CleanWetCloth:5:0;CleanDryCloth:7:360|-
A76,Membaca,1,0,0,0,1;0,-1.3;4,1;8,1.25;2,1;8,45;6,-1.3;3,1.25;1,1.25;3,0.025;0;0.573,1:30,10:00,3,4,8,8,1,5,2.5,7|1;2;3;4;5,-,-,-,-,-,RKJ01|NONE,-|-,100;L1|-,1|-,-|-,Sofa;Chair|-,L2|-,-|-,-,0,0,Room:0:0.1|-
A77,Bersantai,1,0,0,0,1;0,-1;4,1;8,1.5;2,1;8,60;6,-1;3,-1.75;1,1;3,0.025;0;0.229,3:00,10:00,0,2,8,6,1,5,2.5,7|6;7,-,-,-,-,-,RKG01|RTU01,-|R1,100;L1|100;L1,1|0.4,27|27,Sofa|Bed,L2|R2;L2;E2,-|-,-,1,Exhausted,Room:0:0.1|Room:0:0.1;Fan:1:0
A54,Pergi jalan ke sekitar rumah,1,0,1,0,1;0,-2.3;5,1;5,1;5,1;5,30;5,-2.3;6,1;3,1;6,0.025;0;0.458,0:20,12:00,3,5,4,4,0,0,2.5,7|6;7,-,agen02;agen03,-,-,-,RGS01|NONE,R1|-,-|-,1|-,-|-,-|-,R2|-,-|-,-,4,Hunger;0.8,-|-
A56,Mengangkat jemuran,1,0,0,0,1;0,-2.3;4,1;8,1;2,1;8,30;6,-2.3;4,1.1;1,1;3,0;0;0.458,0:10,14:00,3,4.5,6,8,1,7.5,5,7|6;7,A43,-,-,-,-,RHD01|NONE,R1|-,100;L1|-,1|-,-|-,-|-,R2|-,CleanDryCloth:35|-,-,5,CleanDryCloth,Room:0:1;CleanDryCloth:7:0|-
A130,Ibadah di gereja,1,0,1,0,0;1,-2.3;4,1;8,1.25;2,1;5,30;6,-2.3;3,1;1,1.25;3,0.025;-0.025;0.458,1:00,16:00,0,6,6,8,0,0,7.5,30|-2,-,-,-,-,-,RGS01|NONE,R1|-,-|-,1|-,-|-,-|-,R2|-,-|-,-,0,-,-|-
A128,Ibadah di rumah,1,0,0,0,1;0,-2.3;4,1;8,1.25;2,1;5,30;6,-2.3;3,1;1,1.25;3,-0.025;0;0.458,0:40,17:00,4,2.5,6,6,0,0,5,30|-2,-,-,-,-,-,RKJ01|NONE,-|-,100;L1|-,1|-,-|-,Sofa;Chair|-,L2|-,-|-,-,0,-,Room:0:0.1|-
A40,Membersihkan KM Lt. 2,1,0,0,0,1;0,-3.8;4,1;8,1;3,1;8,15;10,-3.8;6,1.25;3,1.25;3,0;0;0.458,0:25,17:00,3,5.5,6,6,1.2,5,2.5,30|-2,-,-,-,-,-,RKM04|NONE,CC|-,100;L1|-,0|-,-|-,Closet|-,R2;L2;D2|-,Water:0;Trash:0|-,-,8,-,Room:5:0;Trash:0:1;Water:6:-0.091|-
A45,Pergi memasukan laundry,1,0,1,0,0;1,-2.3;5,1;5,1;5,1;5,30;5,-2.3;6,1;3,1;6,0;0;0.458,0:20,17:00,3,5,8,8,1.2,7.5,7.5,7|6;7,-,-,-,-,A41;A42,RGS01|NONE,R1|-,100;L1|-,1|-,-|-,-|-,R2|-,DirtyCloth:50|-,-,5,DirtyCloth,Room:0:0.1;DirtyCloth:8:0|-
A61,Pergi mengambil laundry,1,0,1,0,0;1,-2.3;5,1;9,1;5,1;5,30;5,-2.3;6,1;3,1;6,0.025;0;0.458,0:20,17:00,3,5,8,8,1.2,7.5,5,7|6;7,-,-,-,-,-,RGS01|NONE,R1|-,100;L1|-,1|-,-|-,-|-,R2|-,ReadyUseCloth:50|-,-,9,ReadyUseCloth,Room:0:0.1;ReadyUseCloth:9:0|-
A116,Mencari agen03,3,0,0,0,0;1,-1;9,0.1;9,0;9,1;8,60;9,-1;7,1;5,1;5,0;0;0,0:05,17:00,0,3,5,8,0,0,5,1|1,-,agen03,S07-C,A67,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,6,-,Room:0:0.1|-
A67,Bermain dengan anak di malam hari,2,0,0,0,0;1,-2.5;6,1;6,1.5;4,1;8,30;8,-2.5;3,1.25;2,1.5;2,0.05;-0.025;0.229,4:30,17:05,0,3,10,10,1,7.5,5,1|1,A116,agen03,S07-M,-,-,RTM01|RKG01,-|-,100;L1|100;L1,-|-,-|27,-|-,-|-,-|-,-,6,-,Room:0:0.5|Room:0:0.5
A79,Menerima tamu,1,0,0,0,0;1,-1.3;5,1;5,1.25;5,1;8,60;9,-1.3;6,1;3,1;6,0;0;0.229,0:25,18:00,3,4.5,4,4,1,10,2.5,7|6;7,-,-,-,-,-,RTM01|NONE,R1|-,100;L1|-,1|-,-|-,Sofa;Chair|-,R2|-,-|-,-,0,-,Room:0:0.1|-
A62,Pergi membeli makan malam di luar rumah,1,0,1,0,0;1,-2.3;9,1;9,1;9,1;8,30;9,-2.3;3,1;3,1;7,0.025;-0.025;0.458,0:30,18:00,0,5,6,8,0,0,7.5,7|-3,A60,-,-,-,A63,RGS01|NONE,R1|-,-|-,1|-,-|-,-|-,R2|-,-|-,-,3,Hunger;0.8,Room:0:0.1;Food:0:5|-
A36,Pergi jalan ke luar rumah di akhir pekan,1,0,1,0,1;0,-2.3;5,1;5,1;5,1;5,30;5,-2.3;6,1.5;3,1.5;6,0.05;-0.025;0.515,3:00,18:00,3,5,8,8,1.2,7.5,5,7|6;7,-,agen02;agen03,-,-,-,RGS01|NONE,R1|-,-|-,1|-,-|-,-|-,R2|-,-|-,-,6,-,Room:0:0.1|-
A78,Mengoperasikan gadget,2,0,0,0,1;0,-1.3;9,1;9,1.25;9,1;8,45;9,-1.3;7,1.25;5,1.25;5,0.025;0;0.229,0:25,19:00,0,3.5,8,8,0,0,5,1|1,-,-,-,-,-,RTM01|RKJ01,-|-,100;L1|100;L1,1|1,-|-,Sofa;Chair|Sofa;Chair,L2|L2,-|-,-,0,-,Room:0:0.1|Room:0:0.1
A60,Memasak makan malam dengan rice cooker,1,1,0,0,1;0,-2;5,1;8,1;4,1;8,45;8,-2;6,1.15;2,1;2,0;0;0.515,1:30,19:00,0,6.5,8,8,1.4,7.5,7.5,1|1,-,-,-,-,-,RDP02|NONE,-|-,100;L1|-,1|-,-|-,-|-,D2|-,RawFood:3;Water:5000|-,-,3,Hunger;0.8,Room:0:0.1;RawFood:0:-3;Water:0:-5000;Food:4:5;DirtyUtensil:7:60;Rcooker:1:0.3179|-
A04,Belanja,1,0,1,0,1;0,-2.3;5,1;8,1;2,1;5,30;8,-2.3;4,1;2,1;3,0;0;0.573,0:05,19:00,3,6.5,6,6,1.2,7.5,7.5,30|-2,-,-,-,-,-,RTS01|NONE,R1|-,-|-,1|-,-|-,-|-,R2|-,RawFood:5|-,-,2,RawFood,Room:0:0.1;RawFood:0:25;Trash:0:0.1|-
A104,Membuat jus,1,0,0,0,0;1,-2;9,1;9,1;9,1;8,45;9,-2;5,1.15;3,1.5;7,0.025;0;0.458,1:00,19:00,0,3,2,6,1.2,7.5,2.5,30|-2,-,-,-,-,-,RDP02|NONE,-|-,100;L1|-,1|-,-|-,Blender|-,L2;D2|-,Food:1;DrinkWater:200|-,-,1,Thirsty,Room:0:0.1;Blender:1:0;Food:0:-1;DrinkWater:0:-200|-
A63,Memasak makan malam dengan kompor gas,1,0,0,0,0;1,-2.5;5,1;8,1.5;4,1;8,30;8,-2.5;6,1;2,1;2,0;0;0.229,0:05,19:00,0,6.5,4,6,1.2,10,7.5,30|-3,A60,-,-,-,A62,RDP01|RDP02,R1|-,100;L1|100;L1,1|1,-|-,Stove|-,R2;D2|D2,Gas:0;Water:8000:|Rawfood:10,-,3,Hunger;0.8,Room:0:0.1;Gas:1:-0.0048;Trash:0:0.2|Room:0:0.1;Rawfood:0:-5;Food:0:5;Water:0:-8000;Water;6;-0.043;DirtyUtensil:0:0.75
A116,Mencari agen03,2,0,0,0,0;1,-1;9,0.1;9,0;9,1;8,60;9,-1;7,1;5,1;5,0;0;0,0:25,19:00,0,3,5,8,0,0,5,1|1,A62;A63,agen03,S08-C,A117,-,-,-|-,-,-|-,-|-,-|-,-|-,-|-,-,4,Hunger;1,Room:0:0.1|-
A117,Membawa agen03,2,0,0,0,0;1,-1;9,0.1;9,0;9,1;8,60;9,-1;7,1;5,1;5,0;0;0,0:05,19:05,0,3,5,8,0,0,5,1|1,A116,agen03,S08-C,A118,-,RKG01|NONE,-|-,100;L1|-,1|-,-|-,-|-,-|-,-|-,-,0,Hunger;1,Room:0:0.1|-
A119,Mengambil Makan,2,0,0,0,0;1,-1;9,0.1;9,0;9,1;8,60;9,-1;7,1;5,1;5,0;0;0,0:05,19:10,0,3,5,8,0,0,5,1|1,A117,-,S08-C,A64,-,RDP02|NONE,-|-,100;L1|-,1|-,-|-,-|-,-|-,Food:1|-,-,0,Hunger;1,Room:0:0.1;Food:0:-2|-
A64,Menyuapi anak makan malam,2,0,0,0,0;1,-2.5;9,1;9,1.25;4,1;8,30;8,-2.5;3,1;2,1;2,0;0;0.458,0:25,19:15,0,6.5,8,8,1.2,7.5,7.5,1|1,A118,agen03,S08-M,-,-,RKG01|NONE,-|-,100;L1|-,1|-,27|-,Sofa;Chair|-,-|-,-|-,Hunger;8,4,Hunger;1,Room:0:0.1;DirtyUtensil:0:0.5;Trash:0:0.05;Fan:1:0|-
A66,Menonton TV malam,1,0,0,0,1;0,-1;4,1;8,1.25;2,1;8,60;6,-1;6,1;1,1;3,0.025;0;0.229,0:25,20:00,0,2.5,6,6,0,0,2.5,1|1,-,-,-,-,-,RKG01|NONE,-|-,100;L1|-,1|-,27|-,Sofa|-,L2;E2|-,-|-,-,0,-,Room:0:0.1;TV:1:0.029|-
A73,Membereskan mainan anak,2,0,0,0,0;1,-2.3;9,1;9,1;9,1;8,30;9,-2.3;7,1.25;5,1.25;5,-0.025;0.025;0.458,0:30,21:00,0,2.5,6,8,1.4,7.5,5,1|1,A35;A52;A67,-,-,-,-,RKG01|RTU01,-|R1,100;L1|100;L1,1|0.4,27|-,-|-,-|R2,-|-,-,8,-,Room:5:0;Trash;0:0.5|Room:5:0;Trash;0:0.5
A05,Menyapu Ruang Tidur Utama 1,1,0,0,0,0;1,-3.3;9,1;9,1.25;9,1;8,15;9,-3.3;6,1;3,1.25;7,0;0;0.515,0:04,21:00,0,5.5,6,8,1.4,7.5,7.5,7|-5,-,-,S01-M,A06,-,RTU01|NONE,R1|-,100;L1|-,0.4|-,-|-,-|-,R2|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A06,Menyapu Ruang Tidur Utama 2,1,0,0,0,0;1,-3.3;9,1;9,1.25;9,1;5,15;9,-3.3;6,1;3,1.25;7,0;0;0.515,0:05,21:04,0,5.5,6,8,1.4,7.5,7.5,7|-5,-,-,S01-M,A10,-,RTU02|NONE,R1|-,100;L1|-,0.4|-,-|-,-|-,R2|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A10,Menyapu Dapur Bersih,1,0,0,0,0;1,-3.3;9,1;9,1.25;9,1;8,15;9,-3.3;6,1;3,1.25;7,0;0;0.515,0:03,21:09,0,5.5,6,8,1.4,7.5,7.5,7|-5,-,-,S01-M,A11,-,RDP02|NONE,-|-,100;L1|-,1|-,-|-,-|-,-|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A11,Menyapu Ruang Keluarga,1,0,0,0,0;1,-3.3;9,1;9,1.25;9,1;8,15;9,-3.3;6,1;3,1.25;7,0;0;0.515,0:08,21:12,0,5.5,6,8,1.4,7.5,7.5,7|-5,-,-,S01-M,A12,-,RKG01|NONE,-|-,100;L1|-,1|-,-|-,-|-,-|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A12,Menyapu Ruang Tamu,1,0,0,0,0;1,-3.3;9,1;9,1.25;9,1;8,15;9,-3.3;6,1;3,1.25;7,0;0;0.515,0:06,21:20,0,5.5,6,8,1.4,7.5,7.5,7|-5,-,-,S01-M,A14,-,RTM01|NONE,-|-,100;L1|-,1|-,-|-,-|-,-|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A14,Mengepel Ruang Tidur Utama 1,1,0,0,0,0;1,-3.5;9,1;9,1.25;9,1;8,15;9,-3.3;6,1;3,1.25;7,0;0;0.515,0:04,21:26,0,5.5,6,8,1.4,7.5,7.5,7|-5,A05,-,S01-C,A15,-,RTU01|NONE,R1|-,100;L1|-,0.4|-,-|-,-|-,R2;L2|-,-|-,-,8,-,Room:3:-0.5;Water:0:-2|-
A15,Mengepel Ruang Tidur Utama 2,1,0,0,0,0;1,-3.5;9,1;9,1.25;9,1;8,15;9,-3.3;6,1;3,1.25;7,0;0;0.515,0:05,21:30,0,5.5,6,8,1.4,7.5,7.5,7|-5,A06,-,S01-C,A18,-,RTU02|NONE,R1|-,100;L1|-,0.4|-,-|-,-|-,R2;L2|-,-|-,-,8,-,Room:3:-0.5;Water:0:-2|-
A18,Mengepel Dapur Bersih,1,0,0,0,0;1,-3.5;9,1;9,1.25;9,1;8,15;9,-3.3;6,1;3,1.25;7,0;0;0.515,0:03,21:35,0,5.5,6,8,1.4,7.5,7.5,7|-5,A10,-,S01-C,A19,-,RDP02|NONE,-|-,100;L1|-,1|-,-|-,-|-,-|-,-|-,-,8,-,Room:3:-0.5;Water:0:-2|-
A19,Mengepel Ruang Keluarga,1,0,0,0,0;1,-3.5;9,1;9,1.25;9,1;8,15;9,-3.5;6,1;3,1.25;7,0;0;0.515,0:08,21:38,0,5.5,6,8,1.4,7.5,7.5,7|-5,A11,-,S01-C,A20,-,RKG01|NONE,-|-,100;L1|-,1|-,-|-,-|-,-|-,-|-,-,8,-,Room:3:-0.5;Water:0:-2|-
A20,Mengepel Ruang Tamu,1,0,0,0,0;1,-3.5;9,1;9,1.25;9,1;8,15;9,-3.5;6,1;3,1.25;7,0;0;0.515,0:06,21:46,0,5.5,6,8,1.4,7.5,7.5,7|-5,A12,-,S01-C,-,-,RTM01|NONE,-|-,100;L1|-,1|-,-|-,-|-,D2|-,-|-,-,8,-,Room:3:-0.5;Water:0:-2|-
