ID,Decription,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Energy,Exhausted,Sleepy,Defecate,Urinate,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,FollowerActivity,FollowMovement,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
A20,Mengepel Ruang Tamu pagi,1,0,0,0,1;0,-3.5;457.472,1.5;9,1.75;9,-3.5;1097.94,1.75;3,-1.25;7,5.098;40.784,7.5;54,0;0;0.344,0:03,6:21,0,5.5,6,8,1,10,7.5,1|1,A12,-,-,0,S01-M,A187,-,RTM01|NONE,-|-,65;L1|-,1|-,-|-,-|-,L2|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A187,Mengepel Teras pagi,1,0,0,0,1;0,-3.3;457.472,1.5;9,1.75;9,-3.3;1097.94,1.75;3,-1.25;7,5.098;40.784,7.5;54,0;0;0.344,0:02,6:24,0,5.5,6,8,1,10,7.5,1|1,A186,-,-,0,S01-M,-,-,RTS01|NONE,R1|-,65;L1|-,1|-,-|-,-|-,L2|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A22,Memasak makan pagi dengan rice cooker,1,1,0,0,0;1,-2;1067.44,0.25;8,1;4,-2;1097.94,1;2,1;2,8.9215;40.784,22.5;48,0;0;0.229,0:15,6:00,0,6.5,8,8,1,7.5,7.5,1|1,-,-,-,0,-,-,-,RDP02|NONE,-|-,65;L1|-,1|-,-|-,RCooker|-,-|-,RawFood:3;Water:5|-,Hunger;6,3,Hunger;1,Room:0:0.1;RawFood:0:-3;Water:0:-5;Food:4:5;DirtyUtensil:7:60|-
A24,Memasak makan pagi dengan kompor gas,1,0,0,0,1;0,-2.5;1067.44,0.25;8,1;4,-2.5;1097.94,1;2,1;2,7.647;40.784,15;48,0;0;0.344,0:15,6:00,0,6.5,6,8,1,7.5,5,1|1,A22,-,-,0,-,-,A23,RDP01|RDP02,R1|-,65;L1|-,1|-,-|-,Stove|Refrigerator,R2;D2|D2,Gas:0;Water:10|RawFood:5,Hunger;6,3,Hunger;1,Room:0:0.1;Gas:11:-0.0048;Trash:0:0.2;Food:4:5|Room:0:0.1;RawFood:0:-5;Water:0:-8;DirtyUtensil:0:1
A29,Memasak air untuk mandi di pagi hari,1,1,0,0,0;1,-2.5;457.472,0.25;9,1;9,-2.5;1280.93,1;5,1;5,7.647;40.784,15;54,0;0;0.229,0:15,6:00,0,5,6,6,0,0,5,1|1,-,-,-,0,S05-C,P11,-,RDP01|NONE,-|-,65;L1|-,1|-,-|-,Stove|-,R2;D2|-,Gas:0|Water:5,-,1,Dirty,Room:0:0.1;Gas:11:-0.0048|Water:0:-5
P11,Menyiapkan air mandi pagi,1,0,0,0,0;1,-1;457.472,0;9,0.5;9,-1;1280.93,0.1;5,-1.25;5,5.098;40.784,30;54,0;0;0.229,0:05,6:15,0,5,6,6,0,0,5,1|1,A29,-,-,0,S05-C,A25,-,RKM02|NONE,CC|-,65;L1|-,1|-,-|-,-|-,R2|-,Water:40|-,-,1,Dirty,Room:0:0.1;Water:0:-40;Water:6:-0.2|-
A23,Pergi membeli makan pagi di luar rumah,1,0,1,0,0;1,-2.3;457.472,1.25;9,1.25;9,-2.3;548.97,1.25;3,-1.25;7,5.098;40.784,15;54,-0.025;0.25;0.344,0:30,7:00,0,5,6,6,0,0,7.5,7|-5,A22,-,-,0,-,-,A24,RHD01|NONE,R1|-,-|-,-|-,-|-,-|-,R2|-,-|-,-,3,Hunger;1,Room:0:0.1;Food:0:5|-
A182,Mengantar agen04 ke RS,3,0,1,0,0;1,-3.8;1067.44,1.5;5,1.25;5,-3.8;1097.94,1.75;3,-1.25;6,5.098;25.49,7.5;30,0.025;-0.25;0.229,0:30,7:00,0,5.5,8,10,1,7.5,7.5,30|-1,-,agen04,A181,1,-,-,-,RHD01|NONE,R1|-,-|-,-|-,-|-,-|-,R2|-,-|-,-,0,0,Room:0:0.1|-
A104,Membuat jus,1,0,0,0,1;0,-2.5;457.472,0.25;9,1;9,-2.5;1097.94,1;3,1;3,7.647;40.784,15;54,0;0;0.344,0:05,7:00,0,3,8,8,0,0,5,7|-3,-,-,-,0,-,-,-,RDP02|NONE,-|-,65;L1|-,-|-,-|-,Blender1|-,E2|-,Food:5;DrinkWater:1|-,-,3,Thirst;0.8,Room:0:0.1;RawFood:0:-3;DrinkWater:0:-500;DrinkWater:4:1000;DirtyUtensil:0:1|-
P01,Mencari agen03 bangun pagi,1,0,0,0,0;1,-1;457.472,0;9,0.5;9,-1;1280.93,0.1;5,1;5,5.098;40.784,30;54,0;0;0.229,0:05,7:00,0,3,8,8,1,10,5,1|1,-,agen03,-,0,S02-C,A25,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,Sleepy;3,0,0,Room:0:0.1|-
A25,Membangunkan agen03 di pagi hari,1,0,0,0,0;1,-1;1067.44,0.25;8,1;4,-1;1097.94,1;2,1;2,5.098;40.784,30;48,0;0;0.229,0:10,7:00,0,3,8,8,1,10,5,1|1,-,agen03,B01,0,S02-M,P03,-,RKG01|NONE,-|-,65;L1|-,2|-,-|-,-|-,L2;E2|-,-|-,Sleepy;3,4,Sleepy;1,Room:0:0.1|-
A01,Membereskan kasur & karpet tidur,1,0,0,0,0;1,-2;457.472,1;9,1;9,-2;1280.93,1.25;3,1.25;3,5.098;40.784,22.5;54,0;0;0.344,0:15,7:00,0,2,8,10,1,10,7.5,1|1,A25,-,-,0,-,-,-,RKG01|NONE,-|-,65;L1|-,1|-,-|-,-|-,L2;E2;R2|-,-|-,-,8,-,Room:0:0.1|-
A26,Membuat susu agen03 di pagi hari,1,0,0,0,0;1,-1;457.472,0.25;9,1;9,-1;914.95,1;3,1;7,5.098;40.784,30;54,0;0;0.229,0:05,7:00,0,5,6,8,1,10,7.5,1|1,A25,agen03,-,0,S03-M,P32,-,RDP02|NONE,-|-,65;L1|-,-|-,-|-,-|-,D2|-,Gas:0;DrinkWater:0.15|-,Thirst;5,4,Thirst;1,Room:0:0.1;Gas:11:-0.0048;DrinkWater:0:-150|-
P32,Mencari agen minum susu,1,0,0,0,0;1,-1;457.472,0;9,0.5;9,-1;1280.93,0.1;5,-1.25;5,5.098;40.784,30;54,0;0;0.229,0:10,-,0,3,6,8,1,10,7.5,1|1,A26;A53,agen03,P51,0,-,-,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,Thirst;5,0,0,Room:0:0.1|-
P03,Mencari agen03 mandi,1,0,0,0,0;1,-1;457.472,0;9,0.5;9,-1;1280.93,0.1;5,-1.25;5,5.098;40.784,30;54,0.025;-0.25;0.229,0:03,-,0,3,6,8,1,7.5,7.5,7|-3,A25,agen03,-,0,S05-C,P04,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,Dirty;8,0,0,Room:0:0.1|-
P04,Membawa agen03 mandi,1,0,0,0,0;1,-1;457.472,0;9,0.5;9,-1;1280.93,0.1;5,-1.25;5,5.098;40.784,30;54,0.025;-0.25;0.229,0:03,-,0,3,6,8,1,7.5,7.5,7|-3,P03,agen03,P13,1,S05-C,A30,-,RKM02|NONE,-|-,-|-,-|-,-|-,-|-,-|-,-|-,Dirty;8,0,0,Room:0:0.1|-
A30,Memandikan agen03,1,0,0,0,0;1,-2.5;457.472,1.5;9,1.25;9,-2.5;731.96,1;3,-1.25;7,5.098;40.784,15;54,0.025;-0.25;0.229,0:10,7:06,0,6.5,6,8,1,7.5,7.5,7|-3,P04,agen03,B07,0,S05-M,-,-,RKM02|NONE,CC|-,65;L1|-,2|-,-|-,-|-,R2;D2|-,Water:0|-,Dirty;8,4,Dirty;0.5,Room:0:0.1;Water:11:-0.2|-
P05,Mencari agen03 bermain pagi,2,0,0,0,0;1,-1;457.472,0.1;9,1.25;9,-1;1280.93,1;5,1;5,5.098;40.784,30;54,0.05;-0.5;0.229,0:05,7:16,0,3,8,10,1,7.5,7.5,1|1,-,agen03,-,0,-,A180,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,6,-,Room:0:0.1|-
A180,Bermain dengan agen03,2,0,0,0,0;1,-2.5;914.948,1.25;6,1.25;4,-2.5;548.97,1.25;2,1.5;2,5.098;40.784,15;48,0.05;-0.5;0.229,2:30,-,0,3,8,10,1,7.5,7.5,1|1,P05;P41,agen03,A155,0,-,-,-,RHD01|RTM01,-|-,65;L1|65;L1,-|-,-|27,-|-,-|-,-|-,-,6,-,Room:0:0.5|Room:0:0.5
A74,Mencuci piring dan alat masak pagi,1,0,0,0,0;1,-2.3;1219.932,1;8,1.5;2,-2.3;731.96,1.25;1,1;3,5.098;40.784,15;36,0;0;0.229,0:15,7:00,0,4.5,8,6,1,7.5,7.5,1|1,-,-,-,0,-,-,-,RDP02|NONE,-|-,65;L1|-,-|-,-|-,Sink|-,L2;D2|-,Water:0|-,-,5,Water,Room:0:0.1;DirtyUtensil:5:0;Water:11:-0.043|-
P42,Mencari agen03 makan pagi,1,0,0,0,0;1,-1;457.472,0;9,0.5;9,-1;1280.93,0.1;5,1;5,5.098;40.784,30;54,0.025;-0.25;0.229,0:03,8:00,0,3,8,8,1,7.5,7.5,1|1,-,agen03,-,0,-,P43,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,Hunger;8,4,Hunger;1,Room:0:0.1|-
P43,Membawa agen03 makan,1,0,0,0,0;1,-1;457.472,0;9,0.5;9,-1;1280.93,0.1;5,1;5,5.098;40.784,30;54,0.025;-0.25;0.229,0:03,-,0,3,8,8,1,7.5,7.5,1|1,P16;P42,agen03,P14,1,-,P44,-,RTM01|RKG01,-|-,-|-,-|-,-|-,-|-,-|-,-|-,Hunger;8,4,Hunger;1,Room:0:0.1|-
P44,Mengambil makan agen03,1,0,0,0,0;1,-1;457.472,0;9,0.5;9,-1;1280.93,0.1;5,1;5,5.098;40.784,30;54,0.025;-0.25;0.229,0:03,-,0,3,8,8,1,7.5,7.5,1|1,P43,agen03,P15,0,-,A191,-,RDP02|NONE,-|-,65;L1|-,-|-,-|-,-|-,-|-,Food:2|-,Hunger;8,4,Hunger;1,Room:0:0.1;Food:0:-2|-
A191,Menyuapi agen03,1,0,0,0,0;1,-2.5;457.472,0.25;9,1;4,-2.5;548.97,1;2,1;2,7.647;40.784,15;48,0.025;-0.25;0.229,0:20,-,0,6.5,8,8,1,7.5,7.5,1|1,P44,agen03,B02,0,-,-,-,RTM01|RKG01,-|-,65;L1|65;L1,-|-,27|27,Sofa|Chair;Fan,E2|E2,-|-,Hunger;8,4,Hunger;1,Room:0:0.1;DirtyUtensil:0:0.5;Trash:0:0.05|-
A77,Bersantai pagi,1,0,0,0,1;0,-1;1219.932,1;8,1.5;2,-1;548.97,-1.75;1,1;3,5.098;40.784,30;36,0.025;-0.25;0.229,1:00,8:00,0,2,6,6,1,7.5,2.5,1|1,-,-,-,0,-,-,-,RTM01|RKG01,-|-,65;L1|65;L1,3|3,27|27,Sofa|Chair;Fan,L2;E2|L2;E2,-|-,-,1,Exhausted,Room:0:0.1|Room:0:0.1
P06,Mengambil sampah,1,0,0,0,0;1,-1;457.472,0;9,0.5;9,-1;1280.93,0.1;5,1;5,5.098;40.784,30;54,0;0;0.229,0:05,8:00,3,3,6,6,0,0,5,1|1,-,-,-,0,S04-C,A27,-,RDP01|NONE,-|-,65;L1|-,-|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
A27,Membuang sampah,1,0,0,0,0;1,-3;457.472,0.25;9,1.25;9,-3;1097.94,1;3,1;7,7.647;40.784,15;54,0;0;0.229,0:10,8:00,3,5.5,6,6,0,0,5,1|1,P06,-,-,0,S04-M,P06,-,RHD01|NONE,R1|-,-|-,-|-,-|-,TrashCan|-,R2|-,Trash:0|-,-,5,Trash,Room:0:0.1;Trash:5:0|-
A42,Mencuci dengan mesin cuci,1,1,0,0,0;1,-2;457.472,1;9,1;9,-2;914.95,1.25;3,1.25;7,7.647;40.784,15;54,0;0;0.344,0:30,9:00,3,4.5,6,8,1,7.5,7.5,7|-4,-,-,-,0,-,A179,A41,RBK01|NONE,R1|-,65;L1|-,-|-,-|-,WMachine|-,R2|-,Water:100;DirtyCloth:35|-,-,5,DirtyCloth,Room:0:1;DirtyCloth:5:0;CleanWetCloth:7:90;Water:0:-100;WM01:1:0.16|-
A179,Mengeringkan pakaian,1,1,0,0,0;1,-2.3;457.472,0.25;9,1;9,-2.3;1097.94,1;3,-1.25;7,7.647;40.784,15;54,0;0;0.344,0:15,9:00,3,4.5,6,8,1,7.5,7.5,7|-4,A41;A42,-,-,0,-,A43,-,RBK01|NONE,R1|-,65;L1|-,-|-,-|-,WMachine|-,R2|-,CleanWetCloth:35|-,-,9,CleanWetCloth,Room:0:1;WM01:1:0.055|-
A192,Menjemput agen04 dari RS,3,0,1,0,0;1,-3.8;1067.44,1.5;5,1.25;5,-3.8;1097.94,1.75;3,-1.25;6,5.098;25.49,7.5;30,0.025;-0.25;0.229,0:30,10:00,0,5.5,8,10,1,7.5,7.5,30|-1,A182,agen04,A156,1,-,-,-,RHD01|NONE,R1|-,-|-,-|-,-|-,-|-,R2|-,-|-,-,0,0,Room:0:0.1|-
A41,Mencuci baju konvensional,1,0,0,0,0;1,-3.8;457.472,1;9,1;9,-3.8;1280.93,1.5;3,1.5;7,6.3725;40.784,7.5;54,0;0;0.344,0:40,10:00,3,5,8,6,1,7.5,5,7|-3,-,-,-,0,-,A179,A42,RKM03|NONE,CC|-,65;L1|-,-|-,-|-,-|-,R2;L2;D2|-,Water:150;DirtyCloth:35|-,-,5,DirtyCloth,Room:0:1;DirtyCloth:5:0;CleanWetCloth:7:30;Water:0:-150|-
A43,Menjemur pakaian,1,0,0,0,0;1,-2.3;457.472,0.25;9,1;9,-2.3;1097.94,1.25;3,1;7,7.647;40.784,15;54,0;0;0.344,0:15,10:00,3,4,8,6,1,7.5,5,7|-3,A179,-,-,0,-,-,-,RHD01|NONE,R1|-,65;L1|-,-|-,-|-,-|-,R2|-,CleanWetCloth:35|-,-,9,CleanWetCloth,Room:0:1;CleanWetCloth:5:0;CleanDryCloth:7:360|-
A46,Menonton TV pagi,1,0,0,0,1;0,-1;1219.932,1;8,1.25;2,-1;1097.94,1;1,1;3,5.098;40.784,30;36,0;0;0.344,1:00,10:00,0,2.5,6,4,0,0,2.5,1|1,-,-,-,0,-,-,-,RKG01|NONE,-|-,65;L1|-,-|-,27|-,Chair;Fan|-,E2|-,-|-,-,0,0,Room:0:0.1;TV01:1:0.029|-
A78,Mengoperasikan gadget1,1,0,0,0,1;0,-1.3;457.472,1;9,1.25;9,-1.3;1280.93,1;5,1.25;5,5.098;40.784,22.5;54,0.025;-0.25;0.229,1:00,10:00,2,3.5,8,6,0,0,5,1|1,-,-,-,0,-,-,-,RTM01|RKG01,-|-,65;L1|65;L1,-|-,27|27,Sofa|Chair;Fan,E2|E2,-|-,-,0,0,Room:0:0.1|Room:0:0.1
A113,Menggunakan blender bumbu,1,0,0,0,1;0,-2.5;1219.932,0.25;8,1;2,-2.5;548.97,1;1,1;3,7.647;40.784,15;36,0;0;0.344,0:05,11:00,0,3,6,6,0,0,2.5,30|-2,-,-,-,0,-,-,-,RDP02|NONE,-|-,65;L1|-,-|-,-|-,Blender2|-,E2|-,-|-,-,3,Hunger;0.6,Room:0:0.1;RawFood:0:-1;DirtyUtensil:0:1|-
A48,Pergi membeli makan siang di luar rumah,1,0,1,0,0;1,-2.3;457.472,1.25;9,1.25;9,-2.3;548.97,1.25;3,-1.25;7,5.098;40.784,15;54,-0.025;0.25;0.344,0:30,12:00,0,5,6,6,0,0,7.5,7|-5,-,-,-,0,-,-,A49,RHD01|NONE,R1|-,-|-,-|-,-|-,-|-,R2|-,-|-,-,3,Hunger;1,Room:0:0.1;Food:0:5|-
A111,Mengisi ulang daya mainan agen03 1,1,1,0,0,0;1,-1;457.472,1;9,1;9,-1;1280.93,1;5,1;5,5.098;40.784,30;54,0;0;0.115,6:00,12:00,0,3,8,8,0,0,5,1|1,-,-,-,0,-,-,-,RKG01|NONE,-|-,65;L1|-,-|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
A49,Memasak makan siang dengan kompor gas,1,0,0,0,1;0,-2.5;1067.44,0.25;8,1;4,-2.5;1097.94,1;2,1;2,7.647;40.784,15;48,0;0;0.344,0:15,12:00,0,6.5,6,8,1,7.5,5,1|1,-,-,-,0,-,-,A48,RDP01|RDP02,-|-,65;L1|65;L1,-|-,-|-,Stove|Refrigerator,R2;D2|-,Gas:0;Water:10|RawFood:5,Hunger;6,3,Hunger;1,Room:0:0.1;Gas:11:-0.0048;Trash:0:0.2;Food:4:5|Room:0:0.1;RawFood:0:-5;Water:0:-8;Water:6:-0.043;DirtyUtensil:0:1
A53,Membuat susu agen03 di siang hari,1,0,0,0,0;1,-1;457.472,0.25;9,1;9,-1;914.95,1;3,1;7,5.098;40.784,30;54,0;0;0.229,0:05,12:00,0,5,6,8,1,10,7.5,1|1,-,agen03,-,0,S24-M,P32,-,RDP02|NONE,-|-,65;L1|-,-|-,-|-,-|-,D2|-,Gas:0;DrinkWater:0.15|-,Thirst;5,4,Thirst;1,Room:0:0.1;Gas:11:-0.0048;DrinkWater:0:-150|-
A65,Menyetrika pakaian,1,0,0,0,0;1,-2;457.472,1;9,1.25;9,-2;914.95,1;3,1;7,5.098;40.784,15;54,0;0;0.344,1:00,13:00,3,4.5,6,8,1,7.5,7.5,7|-4,A157,-,-,0,-,-,-,RKJ01|NONE,-|-,80;L1|-,2|-,-|-,Iron|-,E2;L2|-,CleanDryCloth:10|-,-,9,CleanDryCloth,Room:0:1;CleanDryCloth:5:0;ReadyUseCloth:7:60|-
A160,Bersantai siang,1,0,0,0,1;0,-1;1219.932,1;8,1.5;2,-1;548.97,-1.75;1,1;3,5.098;40.784,30;36,0.025;-0.25;0.229,1:00,13:00,0,2,6,6,1,7.5,2.5,1|1,-,-,-,0,-,-,-,RTM01|RKG01,-|-,65;L1|65;L1,3|3,27|27,Sofa|Chair;Fan,E2|E2,-|-,-,1,Exhausted,Room:0:0.1|-
A171,Mencuci piring dan alat masak siang,1,0,0,0,0;1,-2.3;1219.932,1;8,1.5;2,-2.3;731.96,1.25;1,-1.25;3,5.098;40.784,15;36,0;0;0.229,0:15,13:00,0,4.5,8,6,1,7.5,7.5,1|1,-,-,-,0,-,-,-,RDP02|NONE,-|-,65;L1|-,-|-,27|-,Sink;Fan|-,L2;D2;E2|-,Water:0|-,-,5,Water,Room:0:0.1;DirtyUtensil:5:0;Water:11:-0.043|-
A56,Mengangkat jemuran,1,0,0,0,0;1,-2.3;457.472,1;9,1.25;9,-2.3;1097.94,1;3,1;7,5.098;40.784,15;54,0;0;0.229,0:15,14:00,3,4.5,8,6,1,7.5,5,7|-3,A43,-,-,0,-,A157,-,RHD01|NONE,R1|-,65;L1|-,-|-,-|-,-|-,R2;L2|-,CleanDryCloth:35|-,-,9,CleanDryCloth,Room:0:1;CleanDryCloth:8:0|-
A157,Meletakan pakaian bersih,1,0,0,0,0;1,-2.3;457.472,1;9,1;9,-2.3;1097.94,0.25;3,1;7,5.098;40.784,15;54,0;0;0.229,0:05,14:00,3,4.5,8,6,1,7.5,5,7|-3,A56,-,-,0,-,-,-,RKJ01|NONE,-|-,65;L1|-,-|-,-|-,-|-,L2|-,CleanDryCloth:35|-,-,9,CleanDryCloth2,Room:0:1;CleanDryCloth2:8:0|-
P16,Mencari agen03 makan siang,1,0,0,0,0;1,-1;457.472,0;9,0.5;9,-1;1280.93,0.1;5,1;5,5.098;40.784,30;54,0.025;-0.25;0.229,0:03,14:00,0,3,8,8,1,7.5,7.5,1|1,-,agen03,-,0,-,P43,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,Hunger;8,4,Hunger;1,Room:0:0.1|-
P41,Mencari agen03 bermain sore,2,0,0,0,0;1,-1;457.472,0.1;9,1.25;9,-1;1280.93,1;5,1;5,5.098;40.784,30;54,0.05;-0.5;0.229,0:03,15:00,0,3,8,10,1,7.5,7.5,1|1,-,agen03,-,0,-,A180,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,6,-,Room:0:0.1|-
A67,Mengoperasikan gadget2,1,0,0,0,1;0,-1.3;457.472,1;9,1.25;9,-1.3;1280.93,1;5,1.25;5,5.098;40.784,22.5;54,0.025;-0.25;0.229,1:00,15:00,2,3.5,8,6,0,0,5,1|1,-,-,-,0,-,-,-,RTM01|RKG01,-|-,65;L1|65;L1,-|-,27|27,Sofa|Chair;Fan,E2|E2;R2,-|-,-,0,0,Room:0:0.1|Room:0:0.1
A35,Membersihkan hal. 1,1,0,1,0,1;0,-3.3;457.472,1.5;9,1.75;9,-3.3;1097.94,1.75;3,-1.25;7,5.098;40.784,7.5;54,0;0;0.344,0:30,15:30,0,5.5,6,8,1,10,7.5,1|1,-,-,-,0,-,A185,-,RHD01|NONE,R1|-,65;L1|-,-|-,-|-,-|-,-|-,-|-,-,0,0,Room:5:0|-
A185,Membersihkan hal. 2,1,0,1,0,1;0,-3.3;457.472,1.5;9,1.75;9,-3.3;1097.94,1.75;3,-1.25;7,5.098;40.784,7.5;54,0;0;0.344,0:30,15:30,0,5.5,6,8,1,10,7.5,1|1,A35,-,-,0,-,-,-,RHD02|NONE,R1|-,65;L1|-,-|-,-|-,-|-,R2|-,-|-,-,0,0,Room:5:0|-
A188,Menyapu Ruang Tidur Utama 2 sore,1,0,0,0,1;0,-3.3;457.472,1.5;9,1.75;9,-3.3;1097.94,1.75;3,-1.25;7,5.098;40.784,7.5;54,0;0;0.344,0:03,16:00,0,5.5,6,8,1,10,7.5,1|1,-,-,-,0,S01-M,A146,-,RTU02|NONE,R1|-,65;L1|-,1|-,-|-,-|-,R2|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A146,Menyapu Dapur Bersih sore,1,0,0,0,1;0,-3.3;457.472,1.5;9,1.75;9,-3.3;1097.94,1.75;3,-1.25;7,5.098;40.784,7.5;54,0;0;0.344,0:03,16:03,0,5.5,6,8,1,10,7.5,1|1,-,-,-,0,S01-M,A147,-,RDP02|NONE,-|-,65;L1|-,1|-,-|-,-|-,R2|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
A147,Menyapu Ruang Keluarga sore,1,0,0,0,1;0,-3.3;457.472,1.5;9,1.75;9,-3.3;1097.94,1.75;3,-1.25;7,5.098;40.784,7.5;54,0;0;0.344,0:02,16:06,0,5.5,6,8,1,10,7.5,1|1,-,-,-,0,S01-M,A148,-,RKG01|NONE,-|-,65;L1|-,1|-,-|-,-|-,R2|-,-|-,-,8,-,Room:3:-0.5;Trash:0:0.1|-
