ID,Description,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Defecate,Urinate,Energy,Exhausted,Sleepy,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,FollowerActivity,FollowMovement,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
A160,Bersantai siang,1,0,0,0,1;0,-1;1248.8,0.25;8,1.75;2,3.908;31.264,30;36,-1;561.96,-1.75;1,1.25;3,0.25;-0.25;0.167,2:00,12:00,1,2,10,10,1,10,7.5,1|1,-,-,-,0,-,-,-,RTA01|NONE,R1|-,20;L1|-,0.17|-,19|-,Bed|-,E2|-,-|-,-,1,Exhausted,Room:0:0.1|-
P35,Mencari agen06 bermain siang,5,0,0,0,1;0,-2;468.3,0;9,1;9,3.908;31.264,30;54,-2;1311.24,0;5,0;5,0;0;0.167,0:03,13:00,0,3,10,10,1.67,10,10,1|1,-,agen06,-,0,-,A52,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,6,-,Room:0:0.1|-
A52,Bermain dengan agen06,5,0,0,0,1;0,-2.5;936.6,0.25;6,1;4,3.908;31.264,15;48,-2.5;561.96,1;2,1;2,0.25;-0.5;0.167,2:00,13:03,0,4.5,10,10,1.67,10,10,1|1,P05;P35,agen06,A155,0,-,-,-,RKG01|RKG02,-|-,20;L1|20;L1,-|-,-|-,Sofa|-,-|-,-|-,-,6,-,Room:0:0.1|Room:0:0.1
P29,Wudhu 2,5,0,0,0,0;1,-1;468.3,0;9,1.75;9,3.908;31.264,30;54,-1;1123.92,0;3,0;7,0;0;0.167,0:05,14:00,0,2,10,10,1,10,10,1|1,-,-,-,0,S12-C,A105,-,RDP01|NONE,-|-,20;L1|-,-|-,-|-,Faucet|-,L2;D2|-,Water:0|-,-,0,0,Room:0:0.1;Water:11:-0.089;Water:11:-0.086|-
A105,Ibadah 2,5,0,0,0,0;1,-1;468.3,0.25;9,1.75;9,3.908;31.264,30;54,-1;1123.92,1;3,1;7,0.25;-0.5;0.167,0:15,14:05,0,2,10,10,1,10,10,1|1,P29,-,-,0,S12-M,-,-,RTA01|NONE,R1|-,20;L1|-,0.17|-,19|-,-|-,E2|-,-|-,-,0,0,Room:0:0.1|-
P21,Mencari agen06 mandi sore,5,0,0,0,0;1,-2;468.3,0;9,1;9,0;31.264,30;54,-2;1311.24,0;5,0;5,0;0;0.167,0:03,17:03,0,5,10,10,1.67,10,10,1|1,-,agen06,-,0,S15-C,P22,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,Dirty;8,4,Dirty;1,Room:0:0.1|-
P22,Membawa agen06 mandi sore,5,0,0,0,0;1,-2;468.3,0;9,1;9,0;31.264,30;54,-2;1311.24,0;5,0;5,0;0;0.167,0:15,17:06,0,3,10,10,1.67,10,10,1|1,P21,agen06,-,0,S15-C,A59,-,RKM02|NONE,R1|-,20;L1|-,-|-,-|-,-|-,-|-,-|-,Dirty;8,4,Dirty;1,Room:0:0.1|-
A59,Memandikan agen06 sore hari,5,0,0,0,0;1,-2.5;468.3,0.25;9,1;9,3.908;31.264,15;54,-2.5;749.28,1;3,1;7,0.25;-0.25;0.167,0:05,18:00,0,6.5,10,10,1.67,10,10,1|1,P22,agen06,-,0,S15-M,-,-,RKM02|NONE,R1|-,20;L1|-,-|-,-|-,-|-,D2|-,Water:60|-,Dirty;8,4,Dirty;1,Room:0:0.1;Water:11:-0.017;Water:0:-60;DirtyCloth:0:1|-
P36,Wudhu 4,5,0,0,0,0;1,-1;468.3,0;9,1.75;9,3.908;31.264,30;54,-1;1123.92,0;3,0;7,0;0;0.167,0:05,22:00,0,2,10,10,1,10,10,1|1,-,-,-,0,S17-C,A169,-,RDP01|NONE,-|-,20;L1|-,-|-,-|-,Faucet|-,L2;D2|-,Water:0|-,-,0,0,Room:0:0.1;Water:11:-0.089;Water:11:-0.086|-
A169,Ibadah 4,5,0,0,0,0;1,-1;468.3,0.25;9,1.75;9,3.908;31.264,30;54,-1;1123.92,1;3,1;7,0.25;-0.5;0.167,0:15,18:05,0,2,10,10,1,10,10,1|1,P36,-,-,0,S17-M,-,-,RTA01|NONE,R1|-,20;L1|-,0.17|-,19|-,-|-,E2|-,-|-,-,0,0,Room:0:0.1|-
A57,Menghidupkan lampu luar di sore hari,2,0,0,0,0;1,-1;1092.7,0.25;8,1;4,3.908;31.264,30;48,-1;1123.92,1;2,1;2,0;0;0.167,0:03,18:00,0,2,8,10,2.33,10,10,30|-5,-,-,-,0,-,-,-,RTM01|NONE,-|-,20;L1|-,-|-,-|-,-|-,-|-,-|-,-,7,-,Room:0:0.1|-
P08,Mencari agen06 makan malam,5,0,0,0,0;1,-2;468.3,0;9,1.75;9,3.908;31.264,30;54,-2;1311.24,0;5,0;5,0;0;0.167,0:03,18:00,0,3,10,10,1.67,10,10,1|1,-,agen06,-,0,S08-C,P09,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,Hunger;5,4,Hunger;1.2,Room:0:0.1|-
P09,Membawa agen06 makan malam,5,0,0,0,0;1,-2;468.3,0;9,1.75;9,3.908;31.264,30;54,-2;1311.24,0;5,0;5,0;0;0.167,0:03,18:03,0,3,10,10,1.67,10,10,1|1,P08,agen06,-,0,S08-C,P10,-,RKG02|NONE,-|-,20;L1|-,-|-,-|-,-|-,-|-,-|-,Hunger;5,4,Hunger;1.2,Room:0:0.1|-
P10,Mengambil makan agen06 malam,5,0,0,0,0;1,-2;468.3,0.25;9,1.75;9,3.908;31.264,30;54,-2;1311.24,1;5,1;5,0;0;0.167,0:03,18:06,0,3,10,10,1.67,10,10,1|1,P09,agen06,-,0,S08-C,A64,-,RMK01|NONE,-|-,20;L1|-,-|-,-|-,-|-,-|-,Food:2|-,Hunger;5,4,Hunger;1.2,Room:0:0.1;Food:0:-2|-
A64,Menyuapi agen06 makan malam,5,0,0,0,0;1,-2.5;468.3,0.25;9,1.75;4,3.908;31.264,15;48,-2.5;561.96,1;2,1;2,0.25;-0.5;0.167,0:20,18:09,0,6.5,10,10,1.67,10,10,1|1,P10,agen06,-,0,S08-M,-,-,RKG02|NONE,-|-,20;L1|-,-|-,-|-,-|-,-|-,-|-,Hunger;5,4,Hunger;1.2,Room:0:0.1;DirtyUtensil:0:1;Trash:0:1|-
A125,Makan bersama keluarga malam,3,0,0,1,0;1,-1.5;468.3,0.25;9,1;9,3.908;31.264,30;54,-1.5;1123.92,1;3,1;7,0;0;0.167,0:15,19:00,1,3,10,10,1.67,10,10,1|1,-,agen01;agen03;agen04;agen06,-,0,-,-,A48,RMK01|NONE,-|-,20;L1|-,-|-,-|-,Chair|-,L2;D2|-,Food:10|-,Hunger;7,3,Hunger;1.2,Room:0:0.1;Water:11:-0.083;Water:0:-2;Food:0:-2;DirtyUtensil:0:1|-
A110,Menonton bersama keluarga (menggunakan home theater),1,0,0,0,0;1,-1;1248.8,0.25;8,1;2,3.908;31.264,30;36,-1;1123.92,1;1,1;3,0;0;0.167,2:00,19:00,1,3,10,10,1.67,10,10,1|1,-,agen01;agen02;agen04;agen06,A110,0,-,-,-,RKG01|NONE,-|-,20;L1|-,-|-,-|-,Sofa|-,L2;E2|-,-|-,-,6,-,Room:0:0.1;TV01:1:0.509;HT01:1:1|-
P07,Mencari agen06 bermain malam,5,0,0,0,1;0,-2;468.3,0;9,1;9,3.908;31.264,30;54,-2;1311.24,0;5,0;5,0;0;0.167,0:03,20:00,0,3,10,10,1.67,10,10,1|1,-,agen06,A155,0,-,A52,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,6,-,Room:0:0.1|-
A170,Mengisi ulang daya gadget malam,3,1,0,0,1;0,-1;468.3,0.25;9,1.75;9,3.908;31.264,30;54,-1;1311.24,1;5,1;5,0;0;0.167,3:00,21:00,0,2,10,10,1,10,10,1|1,-,-,-,0,-,-,-,RTA01|NONE,R1|-,20;L1|-,-|-,19|-,-|-,E2|-,-|-,-,0,0,Room:0:0.1;CH02:1:0.01|-
P31,Wudhu 5,5,0,0,0,0;1,-1;468.3,0;9,1;9,3.908;31.264,30;54,-1;1123.92,0;3,0;7,0;0;0.167,0:05,22:00,0,2,10,10,1,10,10,1|1,-,-,-,0,S17-C,A109,-,RDP01|NONE,-|-,20;L1|-,-|-,-|-,Faucet|-,L2;D2|-,Water:0|-,-,0,0,Room:0:0.1;Water:11:-0.089;Water:11:-0.086|-
A109,Ibadah 5,5,0,0,0,0;1,-1;468.3,0.25;9,1;9,3.908;31.264,30;54,-1;1123.92,1;3,1;7,0.25;-0.5;0.167,0:15,22:05,0,2,10,10,1,10,10,1|1,P31,-,-,0,S17-M,-,-,RTA01|NONE,R1|-,20;L1|-,0.17|-,19|-,-|-,E2|-,-|-,-,0,0,Room:0:0.1|-
A144,Mencuci piring dan alat masak malam,2,0,0,0,1;0,-2.3;1248.8,0.25;8,1.75;2,3.908;31.264,15;36,-2.3;749.28,1.5;1,1;3,0;-0.25;0.667,0:15,22:00,0,4.5,10,10,1.67,10,10,7|6;7,-,-,-,0,-,-,-,RDP02|NONE,-|-,20;L1|-,2.5|-,-|-,Sink|-,L2;D2|-,Water:0|-,-,8,-,Room:0:0.1;Water:11:-0.055;DirtyUtensil:5:0|-
A142,Bersantai malam,1,0,0,0,1;0,-1;1248.8,0.25;8,1.75;2,3.908;31.264,30;36,-1;561.96,-1.75;1,1.25;3,0.25;-0.25;0.167,2:00,22:00,1,2,10,10,1,10,7.5,1|1,-,-,-,0,-,-,-,RTA01|NONE,R1|-,20;L1|-,0.17|-,19|-,Bed|-,E2|-,-|-,-,1,Exhausted,Room:0:0.1|-
A78,Mengoperasikan gadget,1,0,0,0,1;0,-1.3;468.3,0.25;9,1;9,3.908;31.264,22.5;54,-1.3;1311.24,1;5,1.25;5,0;0;0.334,1:00,-,0,3.5,10,10,1,10,10,1|1,-,-,-,0,-,-,-,RKG01|RTA01,-|R1,20;L1|20;L1,-|-,-|19,Sofa|Bed,L2|-,-|-,-,0,0,Room:0:0.1|Room:0:0.1
A75,Berdandan setelah mandi,-1,0,0,0,0;1,-1;624.4,0;2,1;2,3.908;31.264,30;30,-1;1123.92,0;6,0;8,0;0;0.167,0:10,-,0,3,10,8,1,10,5,1|1,B07,-,-,0,S09-C,-,-,RTA01|NONE,R1|-,20;L1|-,0.17|-,19|-,-|-,E2|-,-|-,-,1,Dirty,Room:0:0.1;ReadyUseCloth:0:-1|-
A119,Mengambil Makan,3,0,0,0,0;1,-2;468.3,0.25;9,1;9,3.908;31.264,30;54,-2;1311.24,1;5,1;5,0;0;0.167,0:03,-,0,3,5,8,0,0,5,1|1,-,-,-,0,-,B02,-,RMK01|NONE,-|-,20;L1|-,-|-,-|-,-|-,-|-,Food:2|-,-,1,Hunger,Room:0:0.1;Food:0:-2|-
B01,Bangun tidur,-1,0,0,1,0;1,-0.9;0,0;0,1;0,3.908;0,30;0,-0.9;0,0;0,0;0,0;0;0,-,-,0,0,0,0,0,0,0,1|1,-,-,-,0,-,-,-,RTA01|NONE,R1|-,20;L1|-,-|-,19|-,-|-,L1;E2|-,-|-,-,1,Sleepy,Room:0:0.1|-
B02,Makan,-1,0,0,1,0;1,-1.5;0,0;0,1;0,3.908;0,22.5;0,-1.5;0,0;0,0;0,0;0;0,-,-,0,0,0,0,0,0,0,1|1,A119,-,-,0,-,-,-,RMK01|NONE,-|-,20;L1|-,-|-,-|-,Chair|-,-|-,-|-,-,1,Hunger,Room:0:0.1;DirtyUtensil:0:1|-
B03,Minum,-1,0,0,1,0;1,-1;0,0;0,1;0,3.908;0,30;0,-1;0,0;0,0;0,0;0;0,-,-,0,0,0,0,0,0,0,1|1,-,-,-,0,-,-,-,RST01|NONE,-|-,20;L1|-,-|-,-|-,Chair|-,-|-,DrinkWater:0|-,-,1,Thirst,Room:0:0.1;DrinkWater:10:0;DirtyUtensil:0:1|-
B04,Tidur,-1,0,0,1,0;1,-0.9;0,0;0,1;0,3.908;0,30;0,-0.9;0,0;0,0;0,0;0;0,-,-,0,0,0,0,0,0,0,1|1,-,-,-,0,-,-,-,RTA01|NONE,R1|-,-|-,-|-,19|-,Bed|-,E2|-,-|-,-,1,Sleepy,Room:0:0.1|-
B05,BAK,-1,0,0,1,0;1,-1;0,0;0,1;0,3.908;0,30;0,-1;0,0;0,0;0,0;0;0,-,-,0,0,0,0,0,0,0,1|1,-,-,-,0,-,-,-,RKM02|NONE,CC|-,20;L1|-,0.17|-,-|-,Closet|-,D2|-,Water:3|-,-,1,Urinate,Room:0:0.1;Water:0:-3;Water:11:-0.066|-
B06,BAB,-1,0,0,1,0;1,-1;0,0;0,1;0,3.908;0,30;0,-1;0,0;0,0;0,0;0;0,-,-,0,0,0,0,0,0,0,1|1,-,-,-,0,-,-,-,RKM02|NONE,CC|-,20;L1|-,0.17|-,-|-,Closet|-,D2|-,Water:4.5|-,-,1,Defecate,Room:0:0.1;Water:0:-4.5;Water:11:-0.066|-
B07,Mandi,-1,0,0,1,0;1,-1.5;0,0;0,1;0,3.908;0,22.5;0,-1.5;0,0;0,0;0,0;0;0,-,-,0,0,0,0,0,0,0,1|1,-,-,-,0,-,A75,-,RKM02|NONE,CC|-,20;L1|-,0.17|-,-|-,-|-,D2|-,Water:0|-,-,1,Dirty,Room:0:0.1;Water:11:-0.017;DirtyCloth:0:1|-
